,Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
39,39,39,Komisariat 40,"ul. Żeglarska 32
73-394 Czeladź",21
40,40,40,Komisariat 41,"plac Ludowa 012
90-039 Czechowice-Dziedzice",26
41,41,41,Komisariat 42,"ulica Jodłowa 162
04-898 Tarnowskie Góry",18
42,42,42,Komisariat 43,"aleja Rataja 101
18-611 Jaworzno",19
43,43,43,Komisariat 44,"al. Piaskowa 95
59-665 Kalisz",13
44,44,44,Komisariat 45,"ul. Lotnicza 06
91-700 Biłgoraj",20
45,45,45,Komisariat 46,"aleja Wałowa 57/33
51-216 Szczecinek",13
46,46,46,Komisariat 47,"plac Bolesława Krzywoustego 036
75-554 Kutno",16
47,47,47,Komisariat 48,"pl. Zaciszna 09/12
09-842 Brodnica",17
48,48,48,Komisariat 49,"ulica Plażowa 00/88
20-723 Bartoszyce",22
49,49,49,Komisariat 50,"aleja Skargi 07
74-044 Czechowice-Dziedzice",22
50,50,50,Komisariat 51,"pl. Rolna 62
85-852 Tarnowskie Góry",18
51,51,51,Komisariat 52,"plac Narcyzowa 64
66-116 Knurów",22
52,52,52,Komisariat 53,"plac Zamkowa 557
21-436 Gorlice",15
53,53,53,Komisariat 54,"aleja Srebrna 480
80-475 Kłodzko",22
54,54,54,Komisariat 55,"pl. Piastowska 32/97
58-602 Koło",14
55,55,55,Komisariat 56,"pl. Źródlana 731
08-520 Rybnik",19
56,56,56,Komisariat 57,"aleja Ciasna 89/30
84-124 Kielce",20
57,57,57,Komisariat 58,"pl. Jaskółcza 76
50-358 Ostrów Mazowiecka",23
58,58,58,Komisariat 59,"ulica Stolarska 812
86-332 Wrocław",20
59,59,59,Komisariat 60,"ul. Turkusowa 81
82-296 Sanok",22
60,60,60,Komisariat 61,"al. Andersa 02/74
95-497 Legionowo",27
61,61,61,Komisariat 62,"aleja Piłsudskiego 136
72-449 Sieradz",18
62,62,62,Komisariat 63,"ulica Przemysłowa 952
80-446 Pruszcz Gdański",18
63,63,63,Komisariat 64,"ulica Poprzeczna 06/34
17-841 Oleśnica",25
64,64,64,Komisariat 65,"ulica Skłodowskiej-Curie 63/51
37-882 Tarnowskie Góry",25
65,65,65,Komisariat 66,"ulica Wiklinowa 75/03
69-375 Nowa Sól",14
66,66,66,Komisariat 67,"pl. Prosta 763
87-740 Sieradz",19
67,67,67,Komisariat 68,"ulica Wschodnia 04
44-254 Jaworzno",37
68,68,68,Komisariat 69,"ul. Pogodna 805
71-358 Kalisz",11
69,69,69,Komisariat 70,"plac Wspólna 53/89
53-871 Grudziądz",26
70,70,70,Komisariat 71,"ulica Jagiellońska 97
30-624 Bolesławiec",27
71,71,71,Komisariat 72,"pl. Grzybowa 10/32
93-615 Zgierz",17
72,72,72,Komisariat 73,"ulica Konstytucji 3 Maja 17
77-600 Świętochłowice",24
73,73,73,Komisariat 74,"aleja Morelowa 42
88-911 Pabianice",22
74,74,74,Komisariat 75,"al. Południowa 984
95-373 Sandomierz",18
75,75,75,Komisariat 76,"pl. Drzymały 85
24-272 Starogard Gdański",18
76,76,76,Komisariat 77,"ulica Jeżynowa 230
11-913 Gdańsk",23
77,77,77,Komisariat 78,"plac Strażacka 11/43
91-750 Bolesławiec",25
78,78,78,Komisariat 79,"ul. Jabłoniowa 71/44
72-678 Sopot",19
79,79,79,Komisariat 80,"ul. Agrestowa 229
95-552 Łowicz",27
80,80,80,Komisariat 81,"aleja Zielona 92
03-565 Chorzów",13
81,81,81,Komisariat 82,"al. Zaciszna 821
66-041 Kłodzko",20
82,82,82,Komisariat 83,"ul. Wiatraczna 182
07-633 Chrzanów",10
83,83,83,Komisariat 84,"aleja Glówna 470
62-774 Turek",25
84,84,84,Komisariat 85,"ul. Bydgoska 18
22-864 Katowice",19
85,85,85,Komisariat 86,"plac Maja 36
79-487 Sieradz",24
86,86,86,Komisariat 87,"al. Kopernika 21
52-794 Tychy",25
87,87,87,Komisariat 88,"pl. Krasickiego 302
58-831 Sochaczew",21
88,88,88,Komisariat 89,"aleja Rynek 619
04-965 Będzin",18
89,89,89,Komisariat 90,"aleja Wczasowa 880
08-275 Turek",11
90,90,90,Komisariat 91,"aleja Nadbrzeżna 88/18
89-589 Olsztyn",16
91,91,91,Komisariat 92,"ulica Stefana Batorego 40/89
13-448 Dzierżoniów",18
92,92,92,Komisariat 93,"aleja Cisowa 39
47-481 Zduńska Wola",14
93,93,93,Komisariat 94,"plac Jana Pawła II 44
71-288 Przemyśl",22
94,94,94,Komisariat 95,"aleja Piłsudskiego 50
47-517 Stargard Szczeciński",26
95,95,95,Komisariat 96,"pl. Strumykowa 59
22-811 Olsztyn",21
96,96,96,Komisariat 97,"plac Jesienna 54
87-557 Pruszcz Gdański",15
97,97,97,Komisariat 98,"pl. Słowackiego 01
76-796 Świdnica",11
98,98,98,Komisariat 99,"ul. Wolności 56
71-124 Otwock",19
99,99,99,Komisariat 100,"aleja Bursztynowa 20
60-331 Wałcz",20
100,100,100,Komisariat 101,"pl. Zwycięstwa 25/10
09-602 Opole",29
101,101,101,Komisariat 102,"ul. Jaworowa 622
07-205 Giżycko",23
102,102,102,Komisariat 103,"pl. Stroma 11
41-836 Warszawa",18
103,103,103,Komisariat 104,"ul. Hutnicza 059
72-711 Goleniów",17
104,104,104,Komisariat 105,"aleja Szmaragdowa 533
08-659 Świętochłowice",14
105,105,105,Komisariat 106,"plac Zdrojowa 96/38
85-475 Świdnica",19
106,106,106,Komisariat 107,"pl. Poniatowskiego 04/67
04-380 Olsztyn",31
107,107,107,Komisariat 108,"aleja Ogrodowa 702
53-741 Chorzów",13
108,108,108,Komisariat 109,"ulica Nałkowskiej 21/07
45-373 Tarnobrzeg",25
109,109,109,Komisariat 110,"al. Mazurska 686
82-457 Augustów",20
110,110,110,Komisariat 111,"ul. Wysoka 200
76-084 Zamość",15
111,111,111,Komisariat 112,"al. Kościuszki 180
20-954 Wałcz",23
112,112,112,Komisariat 113,"pl. Morcinka 41
68-169 Chorzów",27
113,113,113,Komisariat 114,"plac Poniatowskiego 059
14-246 Brzeg",25
114,114,114,Komisariat 115,"al. Jaśminowa 04/48
64-253 Ostrołęka",9
115,115,115,Komisariat 116,"aleja Porzeczkowa 32/96
50-075 Starachowice",22
116,116,116,Komisariat 117,"ulica Orzechowa 77/90
44-833 Mysłowice",16
117,117,117,Komisariat 118,"al. Częstochowska 725
97-337 Środa Wielkopolska",22
118,118,118,Komisariat 119,"plac Słowianska 80
04-691 Leszno",15
119,119,119,Komisariat 120,"ulica Perłowa 16/23
69-340 Gorzów Wielkopolski",13
120,120,120,Komisariat 121,"plac Dębowa 67/47
40-719 Koło",17
121,121,121,Komisariat 122,"pl. Korczaka 389
97-165 Suwałki",19
122,122,122,Komisariat 123,"al. Zacisze 248
27-783 Zamość",22
123,123,123,Komisariat 124,"ulica Konopnickiej 328
34-559 Zambrów",15
124,124,124,Komisariat 125,"ul. Poziomkowa 39
28-593 Jarocin",19
125,125,125,Komisariat 126,"ul. Boczna 941
98-897 Cieszyn",29
126,126,126,Komisariat 127,"ulica Miła 41/38
33-896 Reda",20
127,127,127,Komisariat 128,"ulica Sikorskiego 88/55
67-293 Zduńska Wola",27
128,128,128,Komisariat 129,"ul. Wesoła 17/48
61-970 Bydgoszcz",18
129,129,129,Komisariat 130,"aleja Mickiewicza 233
68-706 Białogard",21
130,130,130,Komisariat 131,"pl. Radosna 66/41
91-798 Biała Podlaska",18
131,131,131,Komisariat 132,"pl. Brzoskwiniowa 11/27
52-521 Mielec",17
132,132,132,Komisariat 133,"ul. Ściegiennego 94
87-927 Dębica",23
133,133,133,Komisariat 134,"aleja Klasztorna 939
01-407 Szczecinek",24
134,134,134,Komisariat 135,"plac Prusa 40/28
32-846 Mikołów",19
135,135,135,Komisariat 136,"plac Glówna 71/33
73-392 Mikołów",21
136,136,136,Komisariat 137,"plac Żwirowa 357
74-949 Jaworzno",14
137,137,137,Komisariat 138,"ulica Bankowa 28
41-012 Chorzów",35
138,138,138,Komisariat 139,"al. Nałkowskiej 38/35
11-042 Łowicz",18
139,139,139,Komisariat 140,"al. Żurawia 90
63-104 Sanok",20
140,140,140,Komisariat 141,"pl. Wiosenna 48
39-431 Legnica",25
141,141,141,Komisariat 142,"ul. Lipca 63/50
23-148 Kraków",24
142,142,142,Komisariat 143,"al. Plater 94
52-609 Mława",19
143,143,143,Komisariat 144,"ul. Ceglana 47/00
91-488 Wieluń",31
144,144,144,Komisariat 145,"aleja Korczaka 50/14
28-593 Sosnowiec",17
145,145,145,Komisariat 146,"al. Słowackiego 81/43
75-109 Gdańsk",17
146,146,146,Komisariat 147,"ulica Stefana Batorego 635
27-522 Łowicz",25
147,147,147,Komisariat 148,"ul. Gałczynskiego 01/35
07-082 Mysłowice",16
148,148,148,Komisariat 149,"ulica Wojciecha 55
69-874 Kędzierzyn-Koźle",30
149,149,149,Komisariat 150,"ulica Boczna 999
91-857 Zabrze",16
150,150,150,Komisariat 151,"aleja Tulipanowa 812
71-942 Dzierżoniów",24
151,151,151,Komisariat 152,"ul. Grottgera 89/81
53-424 Kościerzyna",16
152,152,152,Komisariat 153,"pl. Głogowa 73
91-129 Tczew",20
153,153,153,Komisariat 154,"ulica Warszawska 346
36-851 Nowy Targ",24
154,154,154,Komisariat 155,"aleja Głogowa 68/26
05-451 Bielsk Podlaski",22
155,155,155,Komisariat 156,"pl. Kasztanowa 18
10-511 Starogard Gdański",23
156,156,156,Komisariat 157,"plac Szymanowskiego 462
42-050 Bielawa",11
157,157,157,Komisariat 158,"pl. Plater 57/72
51-653 Oleśnica",23
158,158,158,Komisariat 159,"ulica Grabowa 53
43-272 Chełm",21
159,159,159,Komisariat 160,"al. Krokusowa 337
45-603 Nowy Targ",27
160,160,160,Komisariat 161,"al. Sikorskiego 13/88
07-787 Wyszków",26
161,161,161,Komisariat 162,"pl. Podwale 017
79-824 Pruszków",21
162,162,162,Komisariat 163,"ulica Sawickiej 10/69
29-704 Opole",19
163,163,163,Komisariat 164,"pl. Lotnicza 478
82-794 Chorzów",21
164,164,164,Komisariat 165,"ul. Toruńska 64
58-396 Biłgoraj",19
165,165,165,Komisariat 166,"al. Krasickiego 058
59-052 Sosnowiec",17
166,166,166,Komisariat 167,"ul. Nadrzeczna 80
63-581 Bielsko-Biała",27
167,167,167,Komisariat 168,"plac Niecała 91/26
76-303 Ostrów Mazowiecka",15
168,168,168,Komisariat 169,"aleja Jabłoniowa 610
54-667 Słupsk",17
169,169,169,Komisariat 170,"aleja Spokojna 208
21-094 Wieluń",21
170,170,170,Komisariat 171,"al. Daszyńskiego 679
15-862 Wejherowo",19
171,171,171,Komisariat 172,"al. Bankowa 88/73
31-332 Koło",24
172,172,172,Komisariat 173,"pl. Głowackiego 62/74
36-814 Tarnowskie Góry",17
173,173,173,Komisariat 174,"al. Górska 20
73-935 Skierniewice",16
174,174,174,Komisariat 175,"ul. Lawendowa 86
15-223 Poznań",15
175,175,175,Komisariat 176,"al. Rycerska 00
79-139 Kraśnik",20
176,176,176,Komisariat 177,"plac Leśna 86/62
87-942 Legionowo",20
177,177,177,Komisariat 178,"ulica Poziomkowa 27/91
21-609 Wrocław",26
178,178,178,Komisariat 179,"ul. Przechodnia 943
49-876 Słupsk",18
179,179,179,Komisariat 180,"aleja Kraszewskiego 32/62
50-355 Gorzów Wielkopolski",21
180,180,180,Komisariat 181,"ul. Szymanowskiego 283
77-139 Oleśnica",27
181,181,181,Komisariat 182,"pl. Piękna 309
15-605 Otwock",18
182,182,182,Komisariat 183,"ul. Gołębia 61/48
81-414 Mława",18
183,183,183,Komisariat 184,"ulica Miła 46
67-452 Stalowa Wola",17
184,184,184,Komisariat 185,"ul. Słowackiego 69/73
87-591 Kraśnik",19
185,185,185,Komisariat 186,"pl. Jagodowa 18
26-637 Zielona Góra",16
186,186,186,Komisariat 187,"plac Długa 19/69
83-519 Zabrze",23
187,187,187,Komisariat 188,"ul. Spacerowa 68
64-639 Pabianice",22
188,188,188,Komisariat 189,"plac Podwale 463
39-661 Kluczbork",23
189,189,189,Komisariat 190,"ul. Górnicza 17
77-907 Kętrzyn",21
190,190,190,Komisariat 191,"ulica Sadowa 143
06-409 Turek",19
191,191,191,Komisariat 192,"pl. Narcyzowa 48
87-796 Nowy Sącz",22
192,192,192,Komisariat 193,"al. Podmiejska 471
85-028 Oława",14
193,193,193,Komisariat 194,"pl. Staszica 55
12-516 Wejherowo",15
194,194,194,Komisariat 195,"pl. Matejki 19
77-043 Bartoszyce",8
195,195,195,Komisariat 196,"pl. Górska 150
08-436 Jelenia Góra",17
196,196,196,Komisariat 197,"al. Strażacka 48/76
15-711 Piotrków Trybunalski",13
197,197,197,Komisariat 198,"plac Lubelska 50
88-370 Nowy Targ",21
198,198,198,Komisariat 199,"pl. Akacjowa 889
61-707 Ostrołęka",23
199,199,199,Komisariat 200,"ulica Staszica 27
98-262 Łódź",25
200,200,200,Komisariat 201,"ul. Sikorskiego 56
96-327 Będzin",23
201,201,201,Komisariat 202,"ul. Wróblewskiego 43
03-179 Kwidzyn",17
202,202,202,Komisariat 203,"plac Reja 830
02-005 Gliwice",19
203,203,203,Komisariat 204,"plac Kielecka 92/74
49-896 Częstochowa",7
204,204,204,Komisariat 205,"ul. Zamkowa 74
78-870 Stalowa Wola",29
205,205,205,Komisariat 206,"plac Plażowa 95/99
91-515 Ostrów Mazowiecka",17
206,206,206,Komisariat 207,"plac Sportowa 287
31-867 Chrzanów",24
207,207,207,Komisariat 208,"al. Słoneczna 61
90-700 Katowice",27
208,208,208,Komisariat 209,"al. Kołłątaja 44
04-509 Ostrów Mazowiecka",24
209,209,209,Komisariat 210,"aleja Srebrna 89
29-876 Bełchatów",18
210,210,210,Komisariat 211,"al. Strażacka 054
37-115 Gorlice",17
211,211,211,Komisariat 212,"aleja Orzechowa 41
10-340 Września",21
212,212,212,Komisariat 213,"ul. Akacjowa 78
09-149 Zielona Góra",27
213,213,213,Komisariat 214,"pl. Podmiejska 739
26-934 Tarnowskie Góry",14
214,214,214,Komisariat 215,"al. Łanowa 24
29-268 Pszczyna",22
215,215,215,Komisariat 216,"al. Kolonia 08/75
04-235 Cieszyn",23
216,216,216,Komisariat 217,"pl. Lawendowa 95
73-731 Nowy Targ",17
217,217,217,Komisariat 218,"pl. Długa 66
29-343 Iława",19
218,218,218,Komisariat 219,"al. Częstochowska 88/59
54-236 Jaworzno",15
219,219,219,Komisariat 220,"al. Stroma 19
22-496 Turek",27
220,220,220,Komisariat 221,"ulica Handlowa 15/44
10-295 Augustów",26
221,221,221,Komisariat 222,"plac Piastowska 572
90-582 Częstochowa",21
222,222,222,Komisariat 223,"aleja Zielona 251
09-384 Ostróda",18
223,223,223,Komisariat 224,"plac Drzymały 65/70
13-323 Czerwionka-Leszczyny",23
224,224,224,Komisariat 225,"aleja Turkusowa 02
82-414 Mława",19
225,225,225,Komisariat 226,"ul. Floriana 59
41-484 Tczew",24
226,226,226,Komisariat 227,"plac Nałkowskiej 07/39
25-251 Tarnowskie Góry",23
227,227,227,Komisariat 228,"aleja Orla 63
91-625 Płock",25
228,228,228,Komisariat 229,"ul. Bałtycka 36/48
79-369 Kraśnik",29
229,229,229,Komisariat 230,"ul. Wiosenna 81
78-613 Jaworzno",15
230,230,230,Komisariat 231,"ulica Browarna 377
41-297 Olkusz",19
231,231,231,Komisariat 232,"plac Okrężna 807
73-056 Suwałki",16
232,232,232,Komisariat 233,"plac Podwale 92/44
31-426 Mysłowice",23
233,233,233,Komisariat 234,"al. Narcyzowa 076
99-398 Żary",19
234,234,234,Komisariat 235,"pl. Powstańców 07
14-733 Kościan",28
235,235,235,Komisariat 236,"pl. Tęczowa 894
02-359 Białogard",19
236,236,236,Komisariat 237,"al. Pocztowa 53/71
68-644 Bielsk Podlaski",15
237,237,237,Komisariat 238,"ulica Cegielniana 76
22-735 Legionowo",18
238,238,238,Komisariat 239,"ulica Cyprysowa 57
83-795 Legnica",19
239,239,239,Komisariat 240,"ulica Nadrzeczna 064
41-842 Żagań",16
240,240,240,Komisariat 241,"al. Diamentowa 60
41-625 Ruda Śląska",20
241,241,241,Komisariat 242,"aleja Wyszyńskiego 25/00
67-851 Łomża",24
242,242,242,Komisariat 243,"pl. Podmiejska 67
23-169 Ciechanów",17
243,243,243,Komisariat 244,"aleja Władysława Jagiełły 40/38
39-904 Tomaszów Mazowiecki",34
244,244,244,Komisariat 245,"ulica Staszica 23
65-924 Nowa Ruda",26
245,245,245,Komisariat 246,"plac Składowa 12/11
51-377 Łowicz",27
246,246,246,Komisariat 247,"pl. Zakole 331
74-493 Radomsko",24
247,247,247,Komisariat 248,"pl. Piwna 58
05-522 Rumia",23
248,248,248,Komisariat 249,"pl. Łabędzia 33/21
30-315 Bolesławiec",21
249,249,249,Komisariat 250,"pl. Piwna 23/01
89-087 Bochnia",21
250,250,250,Komisariat 251,"ul. Korczaka 892
94-571 Czerwionka-Leszczyny",24
251,251,251,Komisariat 252,"ulica Opolska 524
98-186 Rzeszów",15
252,252,252,Komisariat 253,"aleja Skrajna 45/82
81-281 Puławy",22
253,253,253,Komisariat 254,"aleja Torowa 93
46-327 Kielce",13
254,254,254,Komisariat 255,"pl. Cyprysowa 395
71-064 Wałbrzych",10
255,255,255,Komisariat 256,"aleja Wiatraczna 53
96-763 Zamość",27
256,256,256,Komisariat 257,"ul. Klasztorna 06/73
23-835 Żyrardów",18
257,257,257,Komisariat 258,"ul. Sadowa 35/01
90-668 Zawiercie",25
258,258,258,Komisariat 259,"aleja Poziomkowa 71/50
85-775 Kościan",17
259,259,259,Komisariat 260,"aleja Kasztanowa 637
32-176 Pabianice",15
260,260,260,Komisariat 261,"aleja Miłosza 246
56-458 Marki",23
261,261,261,Komisariat 262,"pl. Poprzeczna 611
86-575 Bydgoszcz",23
262,262,262,Komisariat 263,"al. Cegielniana 54
83-014 Gdynia",18
263,263,263,Komisariat 264,"pl. Zaciszna 339
13-640 Myszków",19
264,264,264,Komisariat 265,"plac Krańcowa 312
83-230 Racibórz",16
265,265,265,Komisariat 266,"ul. Maja 70/46
66-513 Szczecinek",11
266,266,266,Komisariat 267,"ulica Ogrodowa 339
20-066 Tczew",16
267,267,267,Komisariat 268,"al. Turystyczna 36
35-420 Leszno",17
268,268,268,Komisariat 269,"pl. Wybickiego 329
54-110 Żywiec",19
269,269,269,Komisariat 270,"plac Żytnia 437
38-433 Kościerzyna",22
270,270,270,Komisariat 271,"pl. Słowackiego 65/07
96-857 Pabianice",16
271,271,271,Komisariat 272,"ulica Matejki 05
43-293 Ciechanów",22
272,272,272,Komisariat 273,"aleja Sienkiewicza 05
60-275 Marki",15
273,273,273,Komisariat 274,"plac Dąbrowskiego 216
69-485 Malbork",25
274,274,274,Komisariat 275,"al. Stycznia 94
08-484 Legionowo",22
275,275,275,Komisariat 276,"pl. Witosa 30
74-729 Myszków",19
276,276,276,Komisariat 277,"aleja Dworcowa 91/74
30-867 Konin",20
277,277,277,Komisariat 278,"ulica Prusa 89
59-578 Kalisz",21
278,278,278,Komisariat 279,"pl. Kolonia 643
04-863 Kraków",23
279,279,279,Komisariat 280,"al. Lazurowa 107
24-136 Bolesławiec",22
280,280,280,Komisariat 281,"aleja Gołębia 26
61-587 Wodzisław Śląski",21
281,281,281,Komisariat 282,"aleja Bukowa 43/01
27-297 Kłodzko",25
282,282,282,Komisariat 283,"ul. Dworska 249
79-304 Zgorzelec",25
283,283,283,Komisariat 284,"ul. Parkowa 447
04-465 Gdynia",21
284,284,284,Komisariat 285,"al. Brzechwy 077
93-396 Włocławek",23
285,285,285,Komisariat 286,"pl. Sikorskiego 21/78
43-473 Ruda Śląska",16
286,286,286,Komisariat 287,"pl. Okrzei 90/68
36-784 Koszalin",20
287,287,287,Komisariat 288,"ul. Szkolna 855
64-742 Lubliniec",16
288,288,288,Komisariat 289,"pl. Kielecka 907
15-571 Gorzów Wielkopolski",15
289,289,289,Komisariat 290,"plac Magnoliowa 181
81-900 Chorzów",21
290,290,290,Komisariat 291,"ul. Handlowa 125
82-599 Kalisz",18
291,291,291,Komisariat 292,"pl. Jagiellońska 006
91-775 Leszno",23
292,292,292,Komisariat 293,"pl. Waryńskiego 90
64-311 Oława",21
293,293,293,Komisariat 294,"ulica Stawowa 356
81-512 Wrocław",21
294,294,294,Komisariat 295,"al. Brzozowa 801
75-719 Chełm",28
295,295,295,Komisariat 296,"pl. Zwycięstwa 390
53-242 Głogów",14
296,296,296,Komisariat 297,"aleja Kowalska 108
03-762 Wyszków",33
297,297,297,Komisariat 298,"ulica Wolności 50
75-248 Włocławek",28
298,298,298,Komisariat 299,"pl. Górna 95/44
46-026 Grodzisk Mazowiecki",27
299,299,299,Komisariat 300,"plac Niepodległości 02
87-264 Oława",23
300,300,300,Komisariat 301,"plac Wojciecha 88/27
58-443 Giżycko",18
301,301,301,Komisariat 302,"aleja Zaciszna 626
73-671 Zgorzelec",19
302,302,302,Komisariat 303,"ulica Koralowa 73/73
70-547 Białogard",17
303,303,303,Komisariat 304,"plac Stroma 102
90-631 Mielec",21
304,304,304,Komisariat 305,"aleja Kraszewskiego 39
29-395 Giżycko",17
305,305,305,Komisariat 306,"al. Rzeczna 28
98-024 Konin",24
306,306,306,Komisariat 307,"plac Kasztanowa 81
45-620 Piekary Śląskie",25
307,307,307,Komisariat 308,"al. Zakątek 206
67-323 Pruszcz Gdański",26
308,308,308,Komisariat 309,"al. Staszica 03/83
65-937 Wołomin",25
309,309,309,Komisariat 310,"plac Widokowa 60
02-423 Skarżysko-Kamienna",15
310,310,310,Komisariat 311,"pl. Kaliska 45/46
41-144 Łódź",19
311,311,311,Komisariat 312,"aleja Rycerska 63/71
72-306 Głogów",15
312,312,312,Komisariat 313,"ulica Żurawia 28/74
04-418 Zabrze",22
313,313,313,Komisariat 314,"ulica Długa 14/45
69-025 Krosno",25
314,314,314,Komisariat 315,"ul. Wrocławska 00
73-039 Środa Wielkopolska",21
315,315,315,Komisariat 316,"al. Nadrzeczna 283
17-838 Lębork",22
316,316,316,Komisariat 317,"al. Strzelecka 85
17-583 Oława",23
317,317,317,Komisariat 318,"aleja Zakole 49/92
45-659 Świecie",14
318,318,318,Komisariat 319,"ul. Bursztynowa 82/39
78-079 Ełk",20
319,319,319,Komisariat 320,"ul. Stolarska 25/80
89-632 Nysa",17
320,320,320,Komisariat 321,"al. Żurawia 301
51-767 Chełm",17
321,321,321,Komisariat 322,"plac Kilińskiego 372
16-551 Suwałki",16
322,322,322,Komisariat 323,"plac Borowa 440
06-975 Olsztyn",20
323,323,323,Komisariat 324,"al. Poziomkowa 545
12-212 Otwock",17
324,324,324,Komisariat 325,"ulica Szeroka 31/08
15-638 Myszków",21
325,325,325,Komisariat 326,"plac Jana 516
23-096 Ostrołęka",23
326,326,326,Komisariat 327,"pl. Okulickiego 284
19-448 Bolesławiec",28
327,327,327,Komisariat 328,"al. Słonecznikowa 75
90-993 Wyszków",26
328,328,328,Komisariat 329,"al. Lawendowa 943
45-150 Białogard",23
329,329,329,Komisariat 330,"al. Norwida 46/08
70-716 Białogard",16
330,330,330,Komisariat 331,"ul. Wiklinowa 06
99-336 Tomaszów Mazowiecki",21
331,331,331,Komisariat 332,"ulica Boczna 22
96-665 Wieluń",16
332,332,332,Komisariat 333,"plac Rejtana 332
11-731 Dzierżoniów",20
333,333,333,Komisariat 334,"al. Północna 01
80-992 Pruszków",29
334,334,334,Komisariat 335,"ul. Bema 52
10-149 Piaseczno",19
335,335,335,Komisariat 336,"ulica Myśliwska 515
82-758 Września",24
336,336,336,Komisariat 337,"plac Szeroka 46
71-226 Płońsk",24
337,337,337,Komisariat 338,"ul. Górnicza 76/10
61-520 Nowa Ruda",18
338,338,338,Komisariat 339,"plac Mieszka I 55
03-452 Marki",24
339,339,339,Komisariat 340,"ulica Średnia 769
76-318 Częstochowa",14
340,340,340,Komisariat 341,"ul. Zwycięstwa 69
73-159 Wrocław",19
341,341,341,Komisariat 342,"ul. Zakole 901
46-800 Lubartów",19
342,342,342,Komisariat 343,"aleja Tysiąclecia 670
50-849 Nysa",20
343,343,343,Komisariat 344,"ul. Towarowa 95/21
76-627 Brzeg",21
344,344,344,Komisariat 345,"plac Korczaka 42
11-615 Włocławek",16
345,345,345,Komisariat 346,"al. Boczna 00
95-986 Wyszków",13
346,346,346,Komisariat 347,"pl. Porzeczkowa 179
58-271 Łuków",14
347,347,347,Komisariat 348,"al. Chmielna 21
30-858 Bydgoszcz",19
348,348,348,Komisariat 349,"ulica Armii Krajowej 67/32
47-630 Jastrzębie-Zdrój",18
