,ID,Nazwa,Numer_seryjny,Rodzaj
30143,30143,H&K G36,CTYV40W23H1U19GFT,bron
30144,30144,Kajdanki,BJF5KUS44B24UTRT9,inne
30145,30145,Kia Ceed III,GB23DA2K6055MK6DR,pojazd
30146,30146,Glock 19,JXX265CKX43PLDLRA,bron
30147,30147,Volkswagen Transporter,9CSZTZZM9PZ94UXJ3,pojazd
30148,30148,Terminal Bluebird,A95EG9W8361JFTYUL,srodki_lacznosci
30149,30149,Kia Ceed III,EGWPC9TZ2E7R5TZ99,pojazd
30150,30150,Glock 19,JW9S4NP04F5PNDVV1,bron
30151,30151,Walther P99,5UA0LLWYXJC4ZJ241,bron
30152,30152,Terminal Bluebird,JYCRUVXT9066PS0M8,srodki_lacznosci
30153,30153,Terminal Bluebird,A4C7HVGS17LFAHNET,srodki_lacznosci
30154,30154,Walther P99,BXFTK7CL8F8L7URWF,bron
30155,30155,Volkswagen Crafter,UDMV2TZA8FWV3DS06,pojazd
30156,30156,Terminal Bluebird,3CS5EY5KXF80S43J4,srodki_lacznosci
30157,30157,Skoda Superb,6G2UEZKY1HD3720L3,pojazd
30158,30158,Alkomat AlcoQuant 6020,DMUC1ZKL6TR8KBNCV,inne
30159,30159,Glauberyt PM-98,94TRJW5A136S9UEPV,bron
30160,30160,H&K G36,BT8TBRKG41029CK41,bron
30161,30161,Volkswagen Transporter,V6LA1K6U6T3AJCXKW,pojazd
30162,30162,Alkomat AlcoQuant 6020,Y9AVP7GT0MZSSK507,inne
30163,30163,BMW serii 3,7WK9JS5G66NWG9W89,pojazd
30164,30164,Kamizelka kuloodporna,AU2CS4N261W6RL2H6,inne
30165,30165,Toyota Corolla,AKSYY1NW132GRXR23,pojazd
30166,30166,Kamizelka kuloodporna,8Y214ZNA5AA202H7U,inne
30167,30167,Glock 17,WLSM3JGG0J36XU37S,bron
30168,30168,Terminal Bluebird,ZKBU2KURXEHNFT6N4,srodki_lacznosci
30169,30169,Apteczka taktyczna,16XK9WNB83D3UJ1M8,inne
30170,30170,HK UMP,Z3JKDZ9A0YSN2CMNJ,bron
30171,30171,Apteczka taktyczna,PG1A2W2112UCZA1HT,inne
30172,30172,Terminal Bluebird,0SDBKS112A5GZK0M9,srodki_lacznosci
30173,30173,Radiostacja nasobna,8SLFAD0A0UYX7SGYJ,srodki_lacznosci
30174,30174,Radiostacja nasobna,XJSYKVRH9V7GKHSDJ,srodki_lacznosci
30175,30175,Apteczka taktyczna,RJNZTX3B29HXKN4UP,inne
30176,30176,Urzadzenie do detekcji narkotykow AlereTM DDS 2,BW8BBJ9T8XWEK2A80,inne
30177,30177,Alkomat AlcoQuant 6020,C8LHVUYG3K6UGSFJX,inne
30178,30178,Terminal Bluebird,JTHU8V6B6EJ9TC4YS,srodki_lacznosci
30179,30179,Terminal Bluebird,DJWK3VMR5CW470PDC,srodki_lacznosci
30180,30180,H&K MP5A3,SJW6VMTZ1713XNFZX,bron
30181,30181,Alkomat AlcoQuant 6020,VLLC0BG42X1RPX43M,inne
30182,30182,H&K MP5A3,3ETM4PY943BXADSLX,bron
30183,30183,Alkomat AlcoQuant 6020,ZJD5C6RH869R3X655,inne
30184,30184,H&K MP5A3,6DGGANTJX984W6J3E,bron
30185,30185,Latarka taktyczna,8X0EVEXG8G1HXFTXX,inne
30186,30186,Radiostacja nasobna,Z4GHUJSF3X43F3VZM,srodki_lacznosci
30187,30187,Alkomat AlcoQuant 6020,4UYLHAHB4HM61VAH6,inne
30188,30188,H&K G36,PUG2VMDB998KU1BXG,bron
30189,30189,H&K G36,GTBNMBJL81TMGYKSJ,bron
30190,30190,Latarka taktyczna,BHGDART63TC5RKJY6,inne
30191,30191,Latarka taktyczna,TAYE2WWG12G85D8J7,inne
30192,30192,Hyundai Tucson,0FE8L45Z0LFG1A5UK,pojazd
30193,30193,Hyundai Tucson,MKYF9YEW9M20PWKNS,pojazd
30194,30194,Radiostacja nasobna,W04A0UEW3UH4E7ZXF,srodki_lacznosci
30195,30195,Radiostacja nasobna,YZYF37AW0FPT3H8JS,srodki_lacznosci
30196,30196,Opel Crossland X,NNBFFKVL7WLLN1WMA,pojazd
30197,30197,Volkswagen Crafter,KTAWJZGP6A6TYZG1F,pojazd
30198,30198,Terminal Bluebird,2LVA29NL6A0G9ZXUP,srodki_lacznosci
30199,30199,Kamizelka kuloodporna,VH6EHFVLXVV2HR9NS,inne
30200,30200,Apteczka taktyczna,4MB8LXHX5GAAP64Z5,inne
30201,30201,Glauberyt PM-98,GDJT8D7F4K25MN0LL,bron
30202,30202,Skoda Superb,N42V0AT3XGYV662CT,pojazd
30203,30203,BMW serii 3,G9W6XENCXSF6M66JK,pojazd
30204,30204,Sako TRG-21,5527C7404UNMAUUNN,bron
30205,30205,Sako TRG-21,A6MAFAYE8U791XZ4V,bron
30206,30206,H&K G36,W5Y7E5L21CM9L32M3,bron
30207,30207,Terminal Bluebird,6W7NTWH849CB2JJ67,srodki_lacznosci
30208,30208,Radiostacja nasobna,UEP5CERM97YC6SKCU,srodki_lacznosci
30209,30209,Apteczka taktyczna,0W2YMF0Y2MT4RCK8F,inne
30210,30210,H&K G36,LZ9N5TKD5MFCF34XA,bron
30211,30211,H&K G36,9UY0ASZ31WWB2ACLK,bron
30212,30212,Radiostacja nasobna,FR1Y3LJC678EKMNKH,srodki_lacznosci
30213,30213,Glauberyt PM-98,HSFGRT1R9MX386ZZD,bron
30214,30214,H&K G36,XA8TDNBY9XW6YW070,bron
30215,30215,Alkomat AlcoQuant 6020,50ZWNR9A80PWURK0D,inne
30216,30216,Volkswagen Crafter,JNF49LRS035DUVC07,pojazd
30217,30217,Walther P99,NS4B37B219FDVLPAD,bron
30218,30218,Glock 19,0WJ4NBSX8Z1MLZ4MT,bron
30219,30219,Alkomat AlcoQuant 6020,PSR6RKY97VEV1HT1U,inne
30220,30220,Apteczka taktyczna,7DDFG1473PW2AT1K9,inne
30221,30221,Apteczka taktyczna,CD3X1LRH55ZN441RA,inne
30222,30222,Volkswagen Crafter,AHAGR57F9YPAKTB7L,pojazd
30223,30223,BMW serii 3,FDF6SRDM7WZ4583V2,pojazd
30224,30224,Terminal Bluebird,3RU33ZJ649BCN3VSC,srodki_lacznosci
30225,30225,Tonfa,C9JDDERT4YB42G7NA,bron
30226,30226,Volkswagen Transporter,SEKFFA1VXGAR4Y4HR,pojazd
30227,30227,Terminal Bluebird,BKE6JZ4Z8GW95XPXZ,srodki_lacznosci
30228,30228,Kia Ceed III,K7EWB4BE6P9S7K8NN,pojazd
30229,30229,Alkomat AlcoQuant 6020,45VD5B100CH9EGF6W,inne
30230,30230,Urzadzenie do detekcji narkotykow AlereTM DDS 2,0MJHYEKZ9B2TFAGGF,inne
30231,30231,Toyota Corolla,25L1ZS2X2C121DGCD,pojazd
30232,30232,HK UMP,K80BFV9F4YFV6F41H,bron
30233,30233,Terminal Bluebird,K3Z9YEL103G2VSL4X,srodki_lacznosci
30234,30234,Apteczka taktyczna,V64B467T8DF0JSH6H,inne
30235,30235,Apteczka taktyczna,2TS5TAVL5PHKTLG7H,inne
30236,30236,Kamizelka kuloodporna,GS8KNEUZ1V7WHGT2A,inne
30237,30237,HK UMP,Y4JRV69368LU8VWJB,bron
30238,30238,Radiostacja nasobna,PDP7WKZV1EXAVKZEH,srodki_lacznosci
30239,30239,Radiostacja nasobna,TJ4TFFX15DKPZ4VT3,srodki_lacznosci
30240,30240,Terminal Bluebird,LACKMRGZ1ATNE70VV,srodki_lacznosci
30241,30241,Tonfa,SFCHH0H760BRWPZGY,bron
30242,30242,Terminal Bluebird,Z9VGLGPEXF5NP7R5T,srodki_lacznosci
30243,30243,Opel Crossland X,EL9SC6XN9LJUB118F,pojazd
30244,30244,Kajdanki,81YWP5M61ANNDL0J0,inne
30245,30245,H&K G36,WZL6ZZSEXS4YGY5VC,bron
30246,30246,Glauberyt PM-98,CM3AN2TH7W0HCBKH1,bron
30247,30247,Radiostacja nasobna,3F6B0FFW4JE7RWNUT,srodki_lacznosci
30248,30248,Kamizelka kuloodporna,1TXVE11P3EH8UYU09,inne
30249,30249,Skoda Superb,PLF3T0GT2Z0G618DE,pojazd
30250,30250,Opel Crossland X,8C4ZAVHM6XDLN7GB1,pojazd
30251,30251,Radiostacja nasobna,DY1RSRZT42TAL4KJP,srodki_lacznosci
30252,30252,Volkswagen Transporter,YDAUYN7X6JTECS905,pojazd
30253,30253,Kamizelka kuloodporna,VXSWN7VR6JY4AUP1H,inne
30254,30254,Glock 19,LMGKU8X42HNCSWPDR,bron
30255,30255,Tonfa,0YEYYVK23WFNUJLFL,bron
30256,30256,Volkswagen Crafter,G58X886K0LYSB2S8D,pojazd
30257,30257,Terminal Bluebird,86XVWWMZ9F4CY8E4D,srodki_lacznosci
30258,30258,Walther P99,WD6JELPP7VYE0M2TP,bron
30259,30259,Terminal Bluebird,TKC1DHFC6KY8AHC0M,srodki_lacznosci
30260,30260,Latarka taktyczna,E8GJYABJ8S54B73R9,inne
30261,30261,Sako TRG-21,UABTCY8T8TG2H1LH2,bron
30262,30262,Radiostacja nasobna,WDZLTK540U3RJE0JB,srodki_lacznosci
30263,30263,H&K G36,Z355F5CT8NV934X00,bron
30264,30264,Urzadzenie do detekcji narkotykow AlereTM DDS 2,XV02574MXYRY8GU5W,inne
30265,30265,Terminal Bluebird,V6BGRTHU4FNGVC00S,srodki_lacznosci
30266,30266,Kia Ceed III,Z4YTM72V8HXFZ8FBV,pojazd
30267,30267,Radiostacja nasobna,RH2X9BTD7NETAH9UT,srodki_lacznosci
30268,30268,Radiostacja nasobna,ZUYVHSE05WY98700B,srodki_lacznosci
30269,30269,Terminal Bluebird,DW6A7XFL2TN3PDY5T,srodki_lacznosci
30270,30270,Toyota Corolla,KESCAPF07VVMD5NUL,pojazd
30271,30271,Volkswagen Transporter,GG9DL52Z22MTVBVR3,pojazd
30272,30272,Opel Crossland X,RFCERM0J4G7HSH6U5,pojazd
30273,30273,Terminal Bluebird,19AUWUJP6DN1GJYBR,srodki_lacznosci
30274,30274,Latarka taktyczna,U9A1SVKN6DAFS3RZN,inne
30275,30275,Terminal Bluebird,50XJLFVM65KJHHJZ2,srodki_lacznosci
30276,30276,Kamizelka kuloodporna,RYDENYSD7V2R026M6,inne
30277,30277,H&K G36,8D09TW6H208K0P7ZB,bron
30278,30278,BMW serii 3,3G8AWWKX625VY4DDK,pojazd
30279,30279,Walther P99,HKZAPKME9YPHD5KGA,bron
30280,30280,H&K MP5A3,SYP4XKW13UE2XUFFB,bron
30281,30281,Kia Ceed III,A5KX0EPD01NHAGC94,pojazd
30282,30282,Urzadzenie do detekcji narkotykow AlereTM DDS 2,9G7AYGMR2FL97LLS3,inne
30283,30283,Terminal Bluebird,UNEPF236659U1XVY5,srodki_lacznosci
30284,30284,Kajdanki,EGA6KXY93WR5E39VX,inne
30285,30285,Beretta APX,C34F1MU36DDK9NLLW,bron
30286,30286,Beretta APX,9MZBZ5V59MKGEZGKM,bron
30287,30287,HK UMP,0FBTA1897MZXMLDXV,bron
30288,30288,Radiostacja nasobna,KZKF3KG0X0KZP3L34,srodki_lacznosci
30289,30289,Radiostacja nasobna,G6K063DTXGT9UA4JY,srodki_lacznosci
30290,30290,Kia Ceed III,A177YRRN56546DYTZ,pojazd
30291,30291,BMW serii 3,MAW7CSHS7TGCRGKHG,pojazd
30292,30292,Glock 26,XMHMJ5XM1PJ0EEJKP,bron
30293,30293,Opel Crossland X,XKLR6WPK0FVVN77L0,pojazd
30294,30294,Glock 19,SLGRL3EB9ZYFDUYJM,bron
30295,30295,Walther P99,HLTSRSV90GE7S0VWH,bron
30296,30296,Glock 17,KL7F3TSZXK2VKRA9G,bron
30297,30297,Beretta APX,DYFE81R27XSJFBFMJ,bron
30298,30298,Toyota Corolla,EEVB4KBM7NSYM1VKL,pojazd
30299,30299,Latarka taktyczna,HBF8D75G4V1XXXD93,inne
30300,30300,H&K MP5A3,XTY188X949AWMKK8F,bron
30301,30301,HK UMP,6M8SRPMS9TP20KZ1Z,bron
30302,30302,Volkswagen Crafter,6FMA8VLS5DFHN55SN,pojazd
30303,30303,Alkomat AlcoQuant 6020,BMKU4MW37LG7W0NFR,inne
30304,30304,Alkomat AlcoQuant 6020,5P3KVJGP7F9ZVMW4P,inne
30305,30305,Glock 19,X6EWUMWS8CZWN3RLE,bron
30306,30306,Glock 26,JR132BYJ1W6ZZEHZT,bron
30307,30307,Kamizelka kuloodporna,JECGYG0WX2CBGR0ZH,inne
30308,30308,Glock 19,1LZAMAKH7AP0TABWN,bron
30309,30309,Volkswagen Crafter,FGN534LP53FS717AS,pojazd
30310,30310,Skoda Superb,KRTYSE7C379VBDHUS,pojazd
30311,30311,Glock 19,H1VKN9UU860K9WLF8,bron
30312,30312,Opel Crossland X,2HYSF5RS5VM0UT7HB,pojazd
30313,30313,Radiostacja nasobna,E1AW8HVL8DMCASKFL,srodki_lacznosci
30314,30314,Kamizelka kuloodporna,JBPPW0AF86RPMYZYU,inne
30315,30315,Terminal Bluebird,BUUH19X102WZ2NZBG,srodki_lacznosci
30316,30316,Glock 17,PK31DZP53CZCFGAFD,bron
30317,30317,Terminal Bluebird,K7U1XNDM15MXC2XNK,srodki_lacznosci
30318,30318,H&K MP5A3,WT90GSHSX0X4YCUF5,bron
30319,30319,Urzadzenie do detekcji narkotykow AlereTM DDS 2,PS2KVR107SN4EFUE4,inne
30320,30320,Terminal Bluebird,5TZ0HWKX8STVYJ28P,srodki_lacznosci
30321,30321,Sako TRG-21,1CDF8GT50L8JU2WLT,bron
30322,30322,Kia Ceed III,039GKUD703AT8JCED,pojazd
30323,30323,Terminal Bluebird,WNN4B9LW2446976X4,srodki_lacznosci
30324,30324,HK UMP,T072TGAG9FPRJ22UB,bron
30325,30325,Radiostacja nasobna,JR3G36DB5TRZSV3KA,srodki_lacznosci
30326,30326,Urzadzenie do detekcji narkotykow AlereTM DDS 2,MB1ZYBCXX4E48LMHN,inne
30327,30327,Glauberyt PM-98,SBWGAEPT37BURLLM1,bron
30328,30328,Kamizelka kuloodporna,UV3W8UHE1KW1HTP8L,inne
30329,30329,Walther P99,BGGET96Y0D3PKGWU9,bron
30330,30330,Latarka taktyczna,8KKG3AHX0BJWCAH4A,inne
30331,30331,Glock 26,9MFSMPDD8F9R8VX1F,bron
30332,30332,Glock 17,41MTE9X210UMNKBG5,bron
30333,30333,Terminal Bluebird,3ZJECHP5XJ0MBMJYX,srodki_lacznosci
30334,30334,Terminal Bluebird,0SK6HGTG9RJ0B87GU,srodki_lacznosci
30335,30335,Terminal Bluebird,JWKXBZ4K4CK5Y8VCW,srodki_lacznosci
30336,30336,Glock 26,A3XWP18B2DS3P7TU6,bron
30337,30337,Toyota Corolla,9BNDB409XDZUD7ZRW,pojazd
30338,30338,Volkswagen Crafter,85EDW7939T80HA9YG,pojazd
30339,30339,BMW serii 3,BZJ7TCMZ4YAAFSEAH,pojazd
30340,30340,Apteczka taktyczna,SGC2U7PJ1W69ZAAXY,inne
30341,30341,Kajdanki,X7JZRKAU2EVL3B7W0,inne
30342,30342,HK UMP,V14ALTUY5BCX2JUCC,bron
30343,30343,Radiostacja nasobna,74ADJ3RDXZZWTWUBB,srodki_lacznosci
30344,30344,Radiostacja nasobna,THGH19US05BTJBBD1,srodki_lacznosci
30345,30345,Volkswagen Crafter,EFFK47J076XG4KUYX,pojazd
30346,30346,HK UMP,XTZBGMKR6MC8VCAE1,bron
30347,30347,Kamizelka kuloodporna,494AMRA69Z5BP4C2H,inne
30348,30348,Volkswagen Transporter,KHXMVFMM6X1EYJLCA,pojazd
30349,30349,Kajdanki,JPRGE70M94NY2ZWXE,inne
30350,30350,Walther P99,SVU06J4A5R05UH2Y7,bron
30351,30351,Opel Crossland X,TCV9GNMV0LEW5FR69,pojazd
30352,30352,Terminal Bluebird,7YGH0P4439JPR8B0C,srodki_lacznosci
30353,30353,Kamizelka kuloodporna,PAPKWHDF2BKN7X63V,inne
30354,30354,Radiostacja nasobna,20BYFFZ22X0472MK4,srodki_lacznosci
30355,30355,Kamizelka kuloodporna,TT60XTC66Y57W8NHX,inne
30356,30356,Terminal Bluebird,AM6VX03H9U01Z4W2G,srodki_lacznosci
30357,30357,Glock 19,C4BJ6ZXH99BXHPPX6,bron
30358,30358,H&K MP5A3,F7290N87XDLPPZ0S2,bron
30359,30359,Opel Crossland X,1DLN5FP26YNMT15CK,pojazd
30360,30360,Volkswagen Crafter,1S6H5XD08GGLC32VC,pojazd
30361,30361,Kia Ceed III,NASF8HV9X7TU96DN4,pojazd
30362,30362,Hyundai Tucson,2NRLVZA87JJ7ZWTS4,pojazd
30363,30363,Radiostacja nasobna,MR3PXD3D090WZMRF5,srodki_lacznosci
30364,30364,Terminal Bluebird,UUJ3T3T465E5N1RHT,srodki_lacznosci
30365,30365,Terminal Bluebird,YNDN3AEK28B6V8CFU,srodki_lacznosci
30366,30366,Skoda Superb,XSX365L40LZ1HV1LP,pojazd
30367,30367,H&K MP5A3,BF5KELPX2TEZJUBM0,bron
