Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
74,74,Komisariat 75,"al. Południowa 984
95-373 Sandomierz",12
75,75,Komisariat 76,"pl. Drzymały 85
24-272 Starogard Gdański",6
76,76,Komisariat 77,"ulica Jeżynowa 230
11-913 Gdańsk",14
77,77,Komisariat 78,"plac Strażacka 11/43
91-750 Bolesławiec",12
78,78,Komisariat 79,"ul. Jabłoniowa 71/44
72-678 Sopot",11
79,79,Komisariat 80,"ul. Agrestowa 229
95-552 Łowicz",13
80,80,Komisariat 81,"aleja Zielona 92
03-565 Chorzów",8
81,81,Komisariat 82,"al. Zaciszna 821
66-041 Kłodzko",14
82,82,Komisariat 83,"ul. Wiatraczna 182
07-633 Chrzanów",4
83,83,Komisariat 84,"aleja Glówna 470
62-774 Turek",10
84,84,Komisariat 85,"ul. Bydgoska 18
22-864 Katowice",12
85,85,Komisariat 86,"plac Maja 36
79-487 Sieradz",9
86,86,Komisariat 87,"al. Kopernika 21
52-794 Tychy",12
87,87,Komisariat 88,"pl. Krasickiego 302
58-831 Sochaczew",11
88,88,Komisariat 89,"aleja Rynek 619
04-965 Będzin",7
89,89,Komisariat 90,"aleja Wczasowa 880
08-275 Turek",6
90,90,Komisariat 91,"aleja Nadbrzeżna 88/18
89-589 Olsztyn",8
91,91,Komisariat 92,"ulica Stefana Batorego 40/89
13-448 Dzierżoniów",6
92,92,Komisariat 93,"aleja Cisowa 39
47-481 Zduńska Wola",5
93,93,Komisariat 94,"plac Jana Pawła II 44
71-288 Przemyśl",17
94,94,Komisariat 95,"aleja Piłsudskiego 50
47-517 Stargard Szczeciński",10
95,95,Komisariat 96,"pl. Strumykowa 59
22-811 Olsztyn",7
96,96,Komisariat 97,"plac Jesienna 54
87-557 Pruszcz Gdański",10
97,97,Komisariat 98,"pl. Słowackiego 01
76-796 Świdnica",4
98,98,Komisariat 99,"ul. Wolności 56
71-124 Otwock",8
99,99,Komisariat 100,"aleja Bursztynowa 20
60-331 Wałcz",13
100,100,Komisariat 101,"pl. Zwycięstwa 25/10
09-602 Opole",22
101,101,Komisariat 102,"ul. Jaworowa 622
07-205 Giżycko",11
102,102,Komisariat 103,"pl. Stroma 11
41-836 Warszawa",9
103,103,Komisariat 104,"ul. Hutnicza 059
72-711 Goleniów",9
104,104,Komisariat 105,"aleja Szmaragdowa 533
08-659 Świętochłowice",7
105,105,Komisariat 106,"plac Zdrojowa 96/38
85-475 Świdnica",12
106,106,Komisariat 107,"pl. Poniatowskiego 04/67
04-380 Olsztyn",18
107,107,Komisariat 108,"aleja Ogrodowa 702
53-741 Chorzów",6
108,108,Komisariat 109,"ulica Nałkowskiej 21/07
45-373 Tarnobrzeg",13
109,109,Komisariat 110,"al. Mazurska 686
82-457 Augustów",15
110,110,Komisariat 111,"ul. Wysoka 200
76-084 Zamość",6
111,111,Komisariat 112,"al. Kościuszki 180
20-954 Wałcz",13
112,112,Komisariat 113,"pl. Morcinka 41
68-169 Chorzów",15
113,113,Komisariat 114,"plac Poniatowskiego 059
14-246 Brzeg",11
114,114,Komisariat 115,"al. Jaśminowa 04/48
64-253 Ostrołęka",5
115,115,Komisariat 116,"aleja Porzeczkowa 32/96
50-075 Starachowice",11
116,116,Komisariat 117,"ulica Orzechowa 77/90
44-833 Mysłowice",10
117,117,Komisariat 118,"al. Częstochowska 725
97-337 Środa Wielkopolska",8
118,118,Komisariat 119,"plac Słowianska 80
04-691 Leszno",8
119,119,Komisariat 120,"ulica Perłowa 16/23
69-340 Gorzów Wielkopolski",4
120,120,Komisariat 121,"plac Dębowa 67/47
40-719 Koło",8
121,121,Komisariat 122,"pl. Korczaka 389
97-165 Suwałki",11
122,122,Komisariat 123,"al. Zacisze 248
27-783 Zamość",13
123,123,Komisariat 124,"ulica Konopnickiej 328
34-559 Zambrów",4
124,124,Komisariat 125,"ul. Poziomkowa 39
28-593 Jarocin",9
125,125,Komisariat 126,"ul. Boczna 941
98-897 Cieszyn",16
126,126,Komisariat 127,"ulica Miła 41/38
33-896 Reda",9
127,127,Komisariat 128,"ulica Sikorskiego 88/55
67-293 Zduńska Wola",18
128,128,Komisariat 129,"ul. Wesoła 17/48
61-970 Bydgoszcz",10
129,129,Komisariat 130,"aleja Mickiewicza 233
68-706 Białogard",13
130,130,Komisariat 131,"pl. Radosna 66/41
91-798 Biała Podlaska",10
131,131,Komisariat 132,"pl. Brzoskwiniowa 11/27
52-521 Mielec",6
132,132,Komisariat 133,"ul. Ściegiennego 94
87-927 Dębica",9
133,133,Komisariat 134,"aleja Klasztorna 939
01-407 Szczecinek",11
134,134,Komisariat 135,"plac Prusa 40/28
32-846 Mikołów",8
135,135,Komisariat 136,"plac Glówna 71/33
73-392 Mikołów",14
136,136,Komisariat 137,"plac Żwirowa 357
74-949 Jaworzno",8
137,137,Komisariat 138,"ulica Bankowa 28
41-012 Chorzów",18
138,138,Komisariat 139,"al. Nałkowskiej 38/35
11-042 Łowicz",13
139,139,Komisariat 140,"al. Żurawia 90
63-104 Sanok",10
140,140,Komisariat 141,"pl. Wiosenna 48
39-431 Legnica",16
141,141,Komisariat 142,"ul. Lipca 63/50
23-148 Kraków",13
142,142,Komisariat 143,"al. Plater 94
52-609 Mława",7
143,143,Komisariat 144,"ul. Ceglana 47/00
91-488 Wieluń",14
144,144,Komisariat 145,"aleja Korczaka 50/14
28-593 Sosnowiec",10
145,145,Komisariat 146,"al. Słowackiego 81/43
75-109 Gdańsk",11
146,146,Komisariat 147,"ulica Stefana Batorego 635
27-522 Łowicz",19
147,147,Komisariat 148,"ul. Gałczynskiego 01/35
07-082 Mysłowice",11
148,148,Komisariat 149,"ulica Wojciecha 55
69-874 Kędzierzyn-Koźle",17
149,149,Komisariat 150,"ulica Boczna 999
91-857 Zabrze",9
150,150,Komisariat 151,"aleja Tulipanowa 812
71-942 Dzierżoniów",9
151,151,Komisariat 152,"ul. Grottgera 89/81
53-424 Kościerzyna",3
152,152,Komisariat 153,"pl. Głogowa 73
91-129 Tczew",9
153,153,Komisariat 154,"ulica Warszawska 346
36-851 Nowy Targ",12
154,154,Komisariat 155,"aleja Głogowa 68/26
05-451 Bielsk Podlaski",9
155,155,Komisariat 156,"pl. Kasztanowa 18
10-511 Starogard Gdański",14
156,156,Komisariat 157,"plac Szymanowskiego 462
42-050 Bielawa",4
157,157,Komisariat 158,"pl. Plater 57/72
51-653 Oleśnica",14
158,158,Komisariat 159,"ulica Grabowa 53
43-272 Chełm",10
159,159,Komisariat 160,"al. Krokusowa 337
45-603 Nowy Targ",15
160,160,Komisariat 161,"al. Sikorskiego 13/88
07-787 Wyszków",12
161,161,Komisariat 162,"pl. Podwale 017
79-824 Pruszków",15
162,162,Komisariat 163,"ulica Sawickiej 10/69
29-704 Opole",7
163,163,Komisariat 164,"pl. Lotnicza 478
82-794 Chorzów",9
164,164,Komisariat 165,"ul. Toruńska 64
58-396 Biłgoraj",9
165,165,Komisariat 166,"al. Krasickiego 058
59-052 Sosnowiec",7
166,166,Komisariat 167,"ul. Nadrzeczna 80
63-581 Bielsko-Biała",11
167,167,Komisariat 168,"plac Niecała 91/26
76-303 Ostrów Mazowiecka",6
168,168,Komisariat 169,"aleja Jabłoniowa 610
54-667 Słupsk",7
169,169,Komisariat 170,"aleja Spokojna 208
21-094 Wieluń",4
170,170,Komisariat 171,"al. Daszyńskiego 679
15-862 Wejherowo",7
171,171,Komisariat 172,"al. Bankowa 88/73
31-332 Koło",12
172,172,Komisariat 173,"pl. Głowackiego 62/74
36-814 Tarnowskie Góry",9
173,173,Komisariat 174,"al. Górska 20
73-935 Skierniewice",9
174,174,Komisariat 175,"ul. Lawendowa 86
15-223 Poznań",7
175,175,Komisariat 176,"al. Rycerska 00
79-139 Kraśnik",8
176,176,Komisariat 177,"plac Leśna 86/62
87-942 Legionowo",12
177,177,Komisariat 178,"ulica Poziomkowa 27/91
21-609 Wrocław",18
178,178,Komisariat 179,"ul. Przechodnia 943
49-876 Słupsk",12
179,179,Komisariat 180,"aleja Kraszewskiego 32/62
50-355 Gorzów Wielkopolski",11
180,180,Komisariat 181,"ul. Szymanowskiego 283
77-139 Oleśnica",11
181,181,Komisariat 182,"pl. Piękna 309
15-605 Otwock",11
182,182,Komisariat 183,"ul. Gołębia 61/48
81-414 Mława",8
183,183,Komisariat 184,"ulica Miła 46
67-452 Stalowa Wola",9
184,184,Komisariat 185,"ul. Słowackiego 69/73
87-591 Kraśnik",9
185,185,Komisariat 186,"pl. Jagodowa 18
26-637 Zielona Góra",7
186,186,Komisariat 187,"plac Długa 19/69
83-519 Zabrze",11
187,187,Komisariat 188,"ul. Spacerowa 68
64-639 Pabianice",15
188,188,Komisariat 189,"plac Podwale 463
39-661 Kluczbork",12
189,189,Komisariat 190,"ul. Górnicza 17
77-907 Kętrzyn",12
190,190,Komisariat 191,"ulica Sadowa 143
06-409 Turek",12
191,191,Komisariat 192,"pl. Narcyzowa 48
87-796 Nowy Sącz",11
192,192,Komisariat 193,"al. Podmiejska 471
85-028 Oława",6
193,193,Komisariat 194,"pl. Staszica 55
12-516 Wejherowo",5
194,194,Komisariat 195,"pl. Matejki 19
77-043 Bartoszyce",5
195,195,Komisariat 196,"pl. Górska 150
08-436 Jelenia Góra",5
196,196,Komisariat 197,"al. Strażacka 48/76
15-711 Piotrków Trybunalski",6
197,197,Komisariat 198,"plac Lubelska 50
88-370 Nowy Targ",9
198,198,Komisariat 199,"pl. Akacjowa 889
61-707 Ostrołęka",10
199,199,Komisariat 200,"ulica Staszica 27
98-262 Łódź",14
200,200,Komisariat 201,"ul. Sikorskiego 56
96-327 Będzin",13
201,201,Komisariat 202,"ul. Wróblewskiego 43
03-179 Kwidzyn",7
202,202,Komisariat 203,"plac Reja 830
02-005 Gliwice",7
203,203,Komisariat 204,"plac Kielecka 92/74
49-896 Częstochowa",4
204,204,Komisariat 205,"ul. Zamkowa 74
78-870 Stalowa Wola",16
205,205,Komisariat 206,"plac Plażowa 95/99
91-515 Ostrów Mazowiecka",12
206,206,Komisariat 207,"plac Sportowa 287
31-867 Chrzanów",13
207,207,Komisariat 208,"al. Słoneczna 61
90-700 Katowice",12
208,208,Komisariat 209,"al. Kołłątaja 44
04-509 Ostrów Mazowiecka",9
209,209,Komisariat 210,"aleja Srebrna 89
29-876 Bełchatów",6
210,210,Komisariat 211,"al. Strażacka 054
37-115 Gorlice",10
211,211,Komisariat 212,"aleja Orzechowa 41
10-340 Września",15
212,212,Komisariat 213,"ul. Akacjowa 78
09-149 Zielona Góra",17
213,213,Komisariat 214,"pl. Podmiejska 739
26-934 Tarnowskie Góry",5
214,214,Komisariat 215,"al. Łanowa 24
29-268 Pszczyna",10
215,215,Komisariat 216,"al. Kolonia 08/75
04-235 Cieszyn",14
216,216,Komisariat 217,"pl. Lawendowa 95
73-731 Nowy Targ",8
217,217,Komisariat 218,"pl. Długa 66
29-343 Iława",9
218,218,Komisariat 219,"al. Częstochowska 88/59
54-236 Jaworzno",9
219,219,Komisariat 220,"al. Stroma 19
22-496 Turek",18
220,220,Komisariat 221,"ulica Handlowa 15/44
10-295 Augustów",12
221,221,Komisariat 222,"plac Piastowska 572
90-582 Częstochowa",8
222,222,Komisariat 223,"aleja Zielona 251
09-384 Ostróda",5
223,223,Komisariat 224,"plac Drzymały 65/70
13-323 Czerwionka-Leszczyny",9
224,224,Komisariat 225,"aleja Turkusowa 02
82-414 Mława",8
225,225,Komisariat 226,"ul. Floriana 59
41-484 Tczew",13
226,226,Komisariat 227,"plac Nałkowskiej 07/39
25-251 Tarnowskie Góry",15
227,227,Komisariat 228,"aleja Orla 63
91-625 Płock",13
228,228,Komisariat 229,"ul. Bałtycka 36/48
79-369 Kraśnik",12
229,229,Komisariat 230,"ul. Wiosenna 81
78-613 Jaworzno",10
230,230,Komisariat 231,"ulica Browarna 377
41-297 Olkusz",11
231,231,Komisariat 232,"plac Okrężna 807
73-056 Suwałki",9
232,232,Komisariat 233,"plac Podwale 92/44
31-426 Mysłowice",9
233,233,Komisariat 234,"al. Narcyzowa 076
99-398 Żary",11
234,234,Komisariat 235,"pl. Powstańców 07
14-733 Kościan",17
235,235,Komisariat 236,"pl. Tęczowa 894
02-359 Białogard",10
236,236,Komisariat 237,"al. Pocztowa 53/71
68-644 Bielsk Podlaski",7
237,237,Komisariat 238,"ulica Cegielniana 76
22-735 Legionowo",5
238,238,Komisariat 239,"ulica Cyprysowa 57
83-795 Legnica",11
239,239,Komisariat 240,"ulica Nadrzeczna 064
41-842 Żagań",8
240,240,Komisariat 241,"al. Diamentowa 60
41-625 Ruda Śląska",10
241,241,Komisariat 242,"aleja Wyszyńskiego 25/00
67-851 Łomża",12
242,242,Komisariat 243,"pl. Podmiejska 67
23-169 Ciechanów",7
243,243,Komisariat 244,"aleja Władysława Jagiełły 40/38
39-904 Tomaszów Mazowiecki",19
244,244,Komisariat 245,"ulica Staszica 23
65-924 Nowa Ruda",13
245,245,Komisariat 246,"plac Składowa 12/11
51-377 Łowicz",15
246,246,Komisariat 247,"pl. Zakole 331
74-493 Radomsko",6
247,247,Komisariat 248,"pl. Piwna 58
05-522 Rumia",15
248,248,Komisariat 249,"pl. Łabędzia 33/21
30-315 Bolesławiec",11
249,249,Komisariat 250,"pl. Piwna 23/01
89-087 Bochnia",13
250,250,Komisariat 251,"ul. Korczaka 892
94-571 Czerwionka-Leszczyny",9
251,251,Komisariat 252,"ulica Opolska 524
98-186 Rzeszów",10
252,252,Komisariat 253,"aleja Skrajna 45/82
81-281 Puławy",12
253,253,Komisariat 254,"aleja Torowa 93
46-327 Kielce",7
254,254,Komisariat 255,"pl. Cyprysowa 395
71-064 Wałbrzych",7
255,255,Komisariat 256,"aleja Wiatraczna 53
96-763 Zamość",11
256,256,Komisariat 257,"ul. Klasztorna 06/73
23-835 Żyrardów",13
257,257,Komisariat 258,"ul. Sadowa 35/01
90-668 Zawiercie",10
258,258,Komisariat 259,"aleja Poziomkowa 71/50
85-775 Kościan",10
259,259,Komisariat 260,"aleja Kasztanowa 637
32-176 Pabianice",9
260,260,Komisariat 261,"aleja Miłosza 246
56-458 Marki",11
261,261,Komisariat 262,"pl. Poprzeczna 611
86-575 Bydgoszcz",15
262,262,Komisariat 263,"al. Cegielniana 54
83-014 Gdynia",11
263,263,Komisariat 264,"pl. Zaciszna 339
13-640 Myszków",8
264,264,Komisariat 265,"plac Krańcowa 312
83-230 Racibórz",10
265,265,Komisariat 266,"ul. Maja 70/46
66-513 Szczecinek",4
266,266,Komisariat 267,"ulica Ogrodowa 339
20-066 Tczew",11
267,267,Komisariat 268,"al. Turystyczna 36
35-420 Leszno",10
268,268,Komisariat 269,"pl. Wybickiego 329
54-110 Żywiec",9
269,269,Komisariat 270,"plac Żytnia 437
38-433 Kościerzyna",11
270,270,Komisariat 271,"pl. Słowackiego 65/07
96-857 Pabianice",10
271,271,Komisariat 272,"ulica Matejki 05
43-293 Ciechanów",10
272,272,Komisariat 273,"aleja Sienkiewicza 05
60-275 Marki",7
273,273,Komisariat 274,"plac Dąbrowskiego 216
69-485 Malbork",13
274,274,Komisariat 275,"al. Stycznia 94
08-484 Legionowo",14
275,275,Komisariat 276,"pl. Witosa 30
74-729 Myszków",7
276,276,Komisariat 277,"aleja Dworcowa 91/74
30-867 Konin",11
277,277,Komisariat 278,"ulica Prusa 89
59-578 Kalisz",8
278,278,Komisariat 279,"pl. Kolonia 643
04-863 Kraków",8
279,279,Komisariat 280,"al. Lazurowa 107
24-136 Bolesławiec",7
280,280,Komisariat 281,"aleja Gołębia 26
61-587 Wodzisław Śląski",9
281,281,Komisariat 282,"aleja Bukowa 43/01
27-297 Kłodzko",15
282,282,Komisariat 283,"ul. Dworska 249
79-304 Zgorzelec",8
283,283,Komisariat 284,"ul. Parkowa 447
04-465 Gdynia",12
284,284,Komisariat 285,"al. Brzechwy 077
93-396 Włocławek",11
285,285,Komisariat 286,"pl. Sikorskiego 21/78
43-473 Ruda Śląska",10
286,286,Komisariat 287,"pl. Okrzei 90/68
36-784 Koszalin",8
287,287,Komisariat 288,"ul. Szkolna 855
64-742 Lubliniec",7
288,288,Komisariat 289,"pl. Kielecka 907
15-571 Gorzów Wielkopolski",7
289,289,Komisariat 290,"plac Magnoliowa 181
81-900 Chorzów",5
290,290,Komisariat 291,"ul. Handlowa 125
82-599 Kalisz",9
291,291,Komisariat 292,"pl. Jagiellońska 006
91-775 Leszno",11
292,292,Komisariat 293,"pl. Waryńskiego 90
64-311 Oława",11
293,293,Komisariat 294,"ulica Stawowa 356
81-512 Wrocław",7
294,294,Komisariat 295,"al. Brzozowa 801
75-719 Chełm",17
295,295,Komisariat 296,"pl. Zwycięstwa 390
53-242 Głogów",9
296,296,Komisariat 297,"aleja Kowalska 108
03-762 Wyszków",16
297,297,Komisariat 298,"ulica Wolności 50
75-248 Włocławek",11
298,298,Komisariat 299,"pl. Górna 95/44
46-026 Grodzisk Mazowiecki",14
299,299,Komisariat 300,"plac Niepodległości 02
87-264 Oława",14
300,300,Komisariat 301,"plac Wojciecha 88/27
58-443 Giżycko",9
301,301,Komisariat 302,"aleja Zaciszna 626
73-671 Zgorzelec",8
302,302,Komisariat 303,"ulica Koralowa 73/73
70-547 Białogard",8
303,303,Komisariat 304,"plac Stroma 102
90-631 Mielec",7
304,304,Komisariat 305,"aleja Kraszewskiego 39
29-395 Giżycko",12
305,305,Komisariat 306,"al. Rzeczna 28
98-024 Konin",13
306,306,Komisariat 307,"plac Kasztanowa 81
45-620 Piekary Śląskie",14
307,307,Komisariat 308,"al. Zakątek 206
67-323 Pruszcz Gdański",14
308,308,Komisariat 309,"al. Staszica 03/83
65-937 Wołomin",11
309,309,Komisariat 310,"plac Widokowa 60
02-423 Skarżysko-Kamienna",7
310,310,Komisariat 311,"pl. Kaliska 45/46
41-144 Łódź",10
311,311,Komisariat 312,"aleja Rycerska 63/71
72-306 Głogów",6
312,312,Komisariat 313,"ulica Żurawia 28/74
04-418 Zabrze",13
313,313,Komisariat 314,"ulica Długa 14/45
69-025 Krosno",17
314,314,Komisariat 315,"ul. Wrocławska 00
73-039 Środa Wielkopolska",9
315,315,Komisariat 316,"al. Nadrzeczna 283
17-838 Lębork",11
316,316,Komisariat 317,"al. Strzelecka 85
17-583 Oława",8
317,317,Komisariat 318,"aleja Zakole 49/92
45-659 Świecie",5
318,318,Komisariat 319,"ul. Bursztynowa 82/39
78-079 Ełk",11
319,319,Komisariat 320,"ul. Stolarska 25/80
89-632 Nysa",5
320,320,Komisariat 321,"al. Żurawia 301
51-767 Chełm",10
321,321,Komisariat 322,"plac Kilińskiego 372
16-551 Suwałki",9
322,322,Komisariat 323,"plac Borowa 440
06-975 Olsztyn",11
323,323,Komisariat 324,"al. Poziomkowa 545
12-212 Otwock",12
324,324,Komisariat 325,"ulica Szeroka 31/08
15-638 Myszków",9
325,325,Komisariat 326,"plac Jana 516
23-096 Ostrołęka",9
326,326,Komisariat 327,"pl. Okulickiego 284
19-448 Bolesławiec",13
327,327,Komisariat 328,"al. Słonecznikowa 75
90-993 Wyszków",13
328,328,Komisariat 329,"al. Lawendowa 943
45-150 Białogard",12
329,329,Komisariat 330,"al. Norwida 46/08
70-716 Białogard",9
330,330,Komisariat 331,"ul. Wiklinowa 06
99-336 Tomaszów Mazowiecki",8
331,331,Komisariat 332,"ulica Boczna 22
96-665 Wieluń",8
332,332,Komisariat 333,"plac Rejtana 332
11-731 Dzierżoniów",6
333,333,Komisariat 334,"al. Północna 01
80-992 Pruszków",18
334,334,Komisariat 335,"ul. Bema 52
10-149 Piaseczno",9
335,335,Komisariat 336,"ulica Myśliwska 515
82-758 Września",11
336,336,Komisariat 337,"plac Szeroka 46
71-226 Płońsk",13
337,337,Komisariat 338,"ul. Górnicza 76/10
61-520 Nowa Ruda",10
338,338,Komisariat 339,"plac Mieszka I 55
03-452 Marki",12
339,339,Komisariat 340,"ulica Średnia 769
76-318 Częstochowa",7
340,340,Komisariat 341,"ul. Zwycięstwa 69
73-159 Wrocław",7
341,341,Komisariat 342,"ul. Zakole 901
46-800 Lubartów",11
342,342,Komisariat 343,"aleja Tysiąclecia 670
50-849 Nysa",10
343,343,Komisariat 344,"ul. Towarowa 95/21
76-627 Brzeg",10
344,344,Komisariat 345,"plac Korczaka 42
11-615 Włocławek",10
345,345,Komisariat 346,"al. Boczna 00
95-986 Wyszków",8
346,346,Komisariat 347,"pl. Porzeczkowa 179
58-271 Łuków",6
347,347,Komisariat 348,"al. Chmielna 21
30-858 Bydgoszcz",8
348,348,Komisariat 349,"ulica Armii Krajowej 67/32
47-630 Jastrzębie-Zdrój",9
349,349,Komisariat 350,"aleja Lubelska 51/28
24-816 Reda",8
350,350,Komisariat 351,"plac Krańcowa 34/62
06-340 Wołomin",10
351,351,Komisariat 352,"ul. Truskawkowa 78/46
17-928 Mińsk Mazowiecki",11
352,352,Komisariat 353,"ulica Wiązowa 68/27
09-151 Płock",8
353,353,Komisariat 354,"aleja Rzeczna 12
94-250 Tarnowskie Góry",18
354,354,Komisariat 355,"al. Robotnicza 00/89
45-383 Nowy Targ",10
355,355,Komisariat 356,"ulica Stawowa 782
87-874 Nysa",9
356,356,Komisariat 357,"plac Reymonta 86/06
27-526 Wągrowiec",10
357,357,Komisariat 358,"al. Poznańska 75/96
31-910 Puławy",5
358,358,Komisariat 359,"pl. Morcinka 79/17
98-985 Wrocław",14
359,359,Komisariat 360,"ul. Sawickiej 88/96
34-587 Jarosław",12
360,360,Komisariat 361,"ulica Konstytucji 3 Maja 58
20-334 Leszno",8
361,361,Komisariat 362,"ul. Niepodległości 246
61-890 Sopot",10
362,362,Komisariat 363,"aleja Kościuszki 10/68
02-913 Świdnica",10
363,363,Komisariat 364,"pl. Glówna 465
77-809 Głogów",4
364,364,Komisariat 365,"aleja Kosynierów 667
13-232 Brzeg",8
365,365,Komisariat 366,"pl. Mickiewicza 06
28-882 Śrem",10
366,366,Komisariat 367,"ul. Graniczna 38/15
98-458 Turek",15
