ID,Nazwa,Numer_seryjny,Rodzaj
76,Radiostacja nasobna,BUV9MV3RXN7TFUADV,srodki_lacznosci
77,Beretta APX,HLAW35EE2AERXE3J9,bron
78,Terminal Bluebird,J6VZ6LGMXJDUNBEJR,srodki_lacznosci
79,Glock 19,BAVM6X6F81EBR56YA,bron
80,Alkomat AlcoQuant 6020,M3ZA7B8J1JUYX90BJ,inne
81,Volkswagen Crafter,FWTT4AYV3AJMYG4DA,pojazd
82,BMW serii 3,712G28TM6JPGASXF8,pojazd
83,Skoda Superb,V52FV89F7MESYUBG5,pojazd
84,HK UMP,6TD27T9X6PC0RZD3Z,bron
85,Volkswagen Transporter,YU1MHNH56Z2KPUXN5,pojazd
86,Volkswagen Crafter,UNXTZEES5XVTCA76G,pojazd
87,Urzadzenie do detekcji narkotykow AlereTM DDS 2,EK92MB348H1VK7RBX,inne
88,Terminal Bluebird,WFK8M10X1NG09AP00,srodki_lacznosci
89,Radiostacja nasobna,RKCE9EWE82FHXTH3D,srodki_lacznosci
90,Kamizelka kuloodporna,ALSDMRMF1XDS45P1G,inne
91,Radiostacja nasobna,06XMFANL5PW9WX477,srodki_lacznosci
92,Latarka taktyczna,ELJKEP82819JFT9MM,inne
93,Kamizelka kuloodporna,7R4XEED80WAN97G3B,inne
94,Glauberyt PM-98,M49ZV42Z6PKCCSWMM,bron
95,Toyota Corolla,ZU6RVYRX20ZXAGLZH,pojazd
96,Terminal Bluebird,KD2RENWN958FCBWZE,srodki_lacznosci
97,Volkswagen Transporter,BJPSCC8V1L21LNJ5J,pojazd
98,Opel Crossland X,P0P1HGJW3BZ9MUXEZ,pojazd
99,H&K G36,TV6LUZK110ATAZLHK,bron
100,Latarka taktyczna,XJ4D1Z0M44AXKLR7W,inne
101,Skoda Superb,BW27ZSYP4GM8K72XC,pojazd
102,BMW serii 3,GL8F43S99455TDTXK,pojazd
103,Glock 26,SSGHZHC2XK2F0G0NY,bron
104,Opel Crossland X,DXK0DRJ516PEX3YMR,pojazd
105,Kia Ceed III,A8WW3WPV4BMTXDDC9,pojazd
106,Beretta APX,F35KE8R47Z8B4XTNJ,bron
107,Volkswagen Transporter,C0KNYNNFXGFYLV9ZV,pojazd
108,Alkomat AlcoQuant 6020,5UUP396LXRPWC6JG6,inne
109,BMW serii 3,D0SJU91D5HMLVGCL6,pojazd
110,Walther P99,JW6XSFFA43ESN3MD0,bron
111,H&K MP5A3,YYMRH5M25A5KBSLZJ,bron
112,Kajdanki,DE14G3M8XSF4M0RXJ,inne
113,Glock 19,WX0498GF096U4G4LP,bron
114,Terminal Bluebird,J5UPD7LH3X16J4KHG,srodki_lacznosci
115,Kia Ceed III,6ZPRRBC25X7WG7P2C,pojazd
116,Kajdanki,66LR9N368YHS8SAKK,inne
117,Tonfa,ZH302EJG8S22ABCSS,bron
118,Alkomat AlcoQuant 6020,V0NTGR3L8TMM5CWF5,inne
119,Glock 19,Y9DKYK3A5KHA0CESW,bron
120,Apteczka taktyczna,C4ALGCCA4BBCA4HX4,inne
121,Glock 19,XUD8KASC344D0EWHB,bron
122,Terminal Bluebird,PYJSCM1P7UXM1RATL,srodki_lacznosci
123,Apteczka taktyczna,VV45SBNN65XUEMA67,inne
124,Urzadzenie do detekcji narkotykow AlereTM DDS 2,BB861X2X9NSA3RJ9P,inne
125,Kia Ceed III,5B5E5UJ98G324UL6Z,pojazd
126,Radiostacja nasobna,KA348NBW6S9MM0JE7,srodki_lacznosci
127,Volkswagen Transporter,M33HTM4Y22RU61Y0T,pojazd
128,Terminal Bluebird,DJLZLJSN2ST5A9TBS,srodki_lacznosci
129,Skoda Superb,NGJCT32B35N5G2H7D,pojazd
130,Toyota Corolla,PSVU2ANX80F8MP48W,pojazd
131,Kajdanki,DNV9YKPT92DT0GXXK,inne
132,Terminal Bluebird,3KCPUNPG0X7KSCFY2,srodki_lacznosci
133,Kamizelka kuloodporna,KS1XPE3U2Z9D2UHN0,inne
134,Apteczka taktyczna,BKGXDPX6XWY23670J,inne
135,Glock 17,WZAX3RCJ2CWN6S6R3,bron
136,Radiostacja nasobna,V5M0V1699854HCYL7,srodki_lacznosci
137,Terminal Bluebird,NYBXWZH43GPVXA16G,srodki_lacznosci
138,Radiostacja nasobna,MANMB6L89J9LDJJKM,srodki_lacznosci
139,Volkswagen Transporter,TJ817SKD8Z5ZA9VAT,pojazd
140,Radiostacja nasobna,XT9SL0GT7BP7RTJ2B,srodki_lacznosci
141,Skoda Superb,NAJBY4TF5WLGGFZH1,pojazd
142,Kia Ceed III,NC5DLKKR5WWCUBL75,pojazd
143,Apteczka taktyczna,4AMN4A2L4XADBW9LZ,inne
144,Radiostacja nasobna,6PCSXB4J6ZV30G0DX,srodki_lacznosci
145,Kajdanki,N9L88LVF62V4VKZEM,inne
146,Opel Crossland X,6N9Y949T9C7HE1RTF,pojazd
147,Radiostacja nasobna,17YYLJWK82X3NZF57,srodki_lacznosci
148,BMW serii 3,WS10DHRZ3H4BM9ZYA,pojazd
149,Kajdanki,K4YUUFV60YHHDF0GW,inne
150,Urzadzenie do detekcji narkotykow AlereTM DDS 2,S7GAT7Z57J41JVC4N,inne
151,Kajdanki,K77HG5S85HH6CRFD2,inne
152,Alkomat AlcoQuant 6020,SH1RP3SB27ZXKZTU2,inne
153,H&K MP5A3,1ZP5EYHS6HSK8V0BX,bron
154,Kamizelka kuloodporna,2CM82GJX4U8DNT7ES,inne
155,Alkomat AlcoQuant 6020,XGNLLWT81C6ZXKY2J,inne
156,Radiostacja nasobna,R628F8LHXAM0N3Z0C,srodki_lacznosci
157,Apteczka taktyczna,J9401BPG3B022FG4U,inne
158,HK UMP,9CUUWJDK8T7VESYM5,bron
159,Radiostacja nasobna,RZ37343V4STYJSA2D,srodki_lacznosci
160,Kajdanki,C0CKD5H03BWKXF9KR,inne
161,Terminal Bluebird,J8BG7XHR9BZ0CZSWB,srodki_lacznosci
162,Skoda Superb,K850WKNT6XG0GYASD,pojazd
163,Glauberyt PM-98,FRY1P6HS42SFJ3EYJ,bron
164,Radiostacja nasobna,TKHAYS7A7L7ZUATA8,srodki_lacznosci
165,Radiostacja nasobna,WJAY0HM001FBB87SR,srodki_lacznosci
166,Terminal Bluebird,88K45C012PZZ4NH4K,srodki_lacznosci
167,Urzadzenie do detekcji narkotykow AlereTM DDS 2,TK5HAAE5886YRTGJU,inne
168,Latarka taktyczna,SHPH2FNY1A3VGT8FZ,inne
169,Terminal Bluebird,DB4A8P1ZXAWPT0V13,srodki_lacznosci
170,HK UMP,MP555HLW93S9ALGW4,bron
171,Toyota Corolla,X5XPKV5U8ZMZBT0LT,pojazd
172,HK UMP,RRDMJGVU04YWR37ZU,bron
173,Terminal Bluebird,CP123T1C6P5W2ERGE,srodki_lacznosci
174,Apteczka taktyczna,UEKU0GAD2LHPK4RG9,inne
175,Skoda Superb,W5JDY2E60X4NJNU7G,pojazd
176,Skoda Superb,8RC0HGKZ1M73V0EBJ,pojazd
177,Terminal Bluebird,N5W1HNW080616TLYV,srodki_lacznosci
178,Apteczka taktyczna,JZTR3M985PFU2WFF5,inne
179,HK UMP,47285CLS00T76X5RC,bron
180,Alkomat AlcoQuant 6020,Z1YBNEM38UMWSWCS1,inne
181,Urzadzenie do detekcji narkotykow AlereTM DDS 2,XUWPHXNA3NV552059,inne
182,Radiostacja nasobna,3SUYS321642HZ5WDJ,srodki_lacznosci
183,Radiostacja nasobna,540HLJSG1P4NC8VKU,srodki_lacznosci
184,Apteczka taktyczna,BLMKE2PBXWW4P0KUC,inne
185,Kamizelka kuloodporna,SZM4KD7776YH5D947,inne
186,Volkswagen Crafter,1MSUU7ZV12MELVW9F,pojazd
187,Glock 17,N3FM42EK07FKWPREA,bron
188,Kamizelka kuloodporna,F38JYVHS89NTZAWW0,inne
189,Glock 17,F9SCBNT30S7BSED3H,bron
190,Urzadzenie do detekcji narkotykow AlereTM DDS 2,C434CP1Z0RKL9E7MN,inne
191,HK UMP,AJ2KVL947ES485625,bron
192,Latarka taktyczna,UAMG3WFV3TE4FS3M0,inne
193,Glock 19,T3GSCPLA8CC2DB2HL,bron
194,Kia Ceed III,RN7UBEZE3JXCPT3R6,pojazd
195,Volkswagen Crafter,49BPAR6217P4D2BEN,pojazd
196,Glock 17,4F89K3E28TBKP8CM8,bron
197,Volkswagen Crafter,FV8WLS294W2GLL89K,pojazd
198,Urzadzenie do detekcji narkotykow AlereTM DDS 2,B4YBD4J10VB3DMDT2,inne
199,Apteczka taktyczna,XHGB22YZ94ABRMJGU,inne
200,Terminal Bluebird,MZCSVKGE7XU6KPSAL,srodki_lacznosci
201,Urzadzenie do detekcji narkotykow AlereTM DDS 2,HCEH1GS34N2XRX304,inne
202,Radiostacja nasobna,7PRK0M859SZEGCVWB,srodki_lacznosci
203,Glock 26,VM4Z4TFE50BKZG2RW,bron
204,Toyota Corolla,MTA8WVF039X2KC6G2,pojazd
205,Opel Crossland X,2LDNK9HD8XKV2ZC1M,pojazd
206,Skoda Superb,YFFH12HU72TYCY9ZA,pojazd
207,Kamizelka kuloodporna,M1BEYLK67J3HFGL4Y,inne
208,Glauberyt PM-98,XJCPCZWLXCPCDJHU5,bron
209,H&K G36,CF3NEN6R7503M6S2F,bron
210,Skoda Superb,2GURV2KB97AFW6R4H,pojazd
211,Radiostacja nasobna,W3B5VYJS54REE0V72,srodki_lacznosci
212,Kia Ceed III,W5TUZ4PE9307VZEL7,pojazd
213,Alkomat AlcoQuant 6020,SS9LM8CT2F60YM9RF,inne
214,Walther P99,5F2W7TRA18DWD5SUB,bron
215,Latarka taktyczna,F14PU6814TSCNRVST,inne
216,Tonfa,3X4YUFSN6RL92TUEC,bron
217,Radiostacja nasobna,HSK4LZWJ8976B16M6,srodki_lacznosci
218,Kia Ceed III,6XLLV9ZA5MF7VV8VH,pojazd
219,Beretta APX,EWNJW4DF5C1VATPEJ,bron
220,Radiostacja nasobna,Y0GPF2WU79DY7Z35Z,srodki_lacznosci
221,BMW serii 3,7NUNPKPN1CA346B3N,pojazd
222,Apteczka taktyczna,FF794V931XN5FSJSA,inne
223,BMW serii 3,GZJ4PLKU89UEJGZYC,pojazd
224,Toyota Corolla,9GEH84DE75C984YG0,pojazd
225,Tonfa,CJT8FR7F9HCFR298C,bron
226,Kamizelka kuloodporna,HWBP7KMB4C402CUTD,inne
227,Volkswagen Transporter,8E4ET2BMXRVMVNDBG,pojazd
228,Volkswagen Crafter,FD2NYU7N11DDZXVJT,pojazd
229,Kajdanki,U3TXWERZ8RVJSRFFW,inne
230,HK UMP,73PL4S803Y57VW1FC,bron
231,Radiostacja nasobna,JR8CR2K78Y4M3C30N,srodki_lacznosci
232,Radiostacja nasobna,539PGJ7H480YEYR8V,srodki_lacznosci
233,Kajdanki,9DMRFJ508Y7Z7PCTD,inne
234,BMW serii 3,JANEFYVN0SMCK9JFA,pojazd
235,Latarka taktyczna,3XHDEF0C7H88SD0EV,inne
236,BMW serii 3,TAPED5MZ6UUAFRRC9,pojazd
237,Terminal Bluebird,AFKJZLJ88CEMR369L,srodki_lacznosci
238,Radiostacja nasobna,XAW0C7NL0AFJZE1WB,srodki_lacznosci
239,Toyota Corolla,0818AYB4902LK0DZR,pojazd
240,Sako TRG-21,GXWKJRJP44M4FCARW,bron
241,Glock 17,DW38UTNGXBDGVVZNU,bron
242,Kia Ceed III,755JYXZU18D6NSNE8,pojazd
243,Hyundai Tucson,FYSZ239T6Y9FURYTF,pojazd
244,Radiostacja nasobna,NJ5KEC2K0YNGF00V0,srodki_lacznosci
245,Sako TRG-21,36KTHWX140R19R3E3,bron
246,Walther P99,2VGGNPMH5LRGHCP95,bron
247,Glock 17,ADW5BXJS2NUXJT8X3,bron
248,Kia Ceed III,YB4PA99Z3WLYXLWR1,pojazd
249,Radiostacja nasobna,R7UEE4AY5LBDXS9JV,srodki_lacznosci
250,Terminal Bluebird,VFG02UHE5L8XALS7W,srodki_lacznosci
251,Kajdanki,LHLCGAS28KKK0TE19,inne
252,Apteczka taktyczna,6NU303VD73ZWXXWPP,inne
253,Beretta APX,KZGCY11W5FNG5KF0Y,bron
254,Urzadzenie do detekcji narkotykow AlereTM DDS 2,33RDL15A8YXGZML13,inne
255,Volkswagen Crafter,14V2S6LN6JSBSAY63,pojazd
256,Sako TRG-21,BPP4SJPG74ZKTSM4X,bron
257,Skoda Superb,7UAUPFPP16JXCC9NT,pojazd
258,Apteczka taktyczna,8W5JUL9N688MESNWX,inne
259,Terminal Bluebird,RWULN6J0XBTPBV6XR,srodki_lacznosci
260,Hyundai Tucson,TJLR1YSJ2J3PGHX3C,pojazd
261,Kia Ceed III,NBP7HAZ63ATKW2BKS,pojazd
262,BMW serii 3,45RJKYMD6KZ93SP92,pojazd
263,Radiostacja nasobna,EZFX7L5356UKPU7XY,srodki_lacznosci
264,Kajdanki,AJU78LE93KGH5CPNE,inne
265,H&K MP5A3,H8RE3U1M3PLGC0449,bron
266,Hyundai Tucson,VB6MKWPZ2HH2YUDB3,pojazd
267,Glauberyt PM-98,ESJ2ANU772VM94HV9,bron
268,Radiostacja nasobna,NG3256TDXDP47H23M,srodki_lacznosci
269,Kamizelka kuloodporna,67ZU1MDJ9PLDD77FJ,inne
270,Kamizelka kuloodporna,ZM4T8YAM0GLDYKGJE,inne
271,Glauberyt PM-98,2LVLXTCC7CFUGKVAB,bron
272,Volkswagen Transporter,604D4RBW3PZJDEP24,pojazd
273,Glock 17,412RPV1M46HLX5HWZ,bron
274,Kamizelka kuloodporna,8KMXW0HK3193SLV75,inne
275,Terminal Bluebird,D2L2F3ZH9WTV4RKHD,srodki_lacznosci
276,Radiostacja nasobna,Y660Y34L7D8DD8WYD,srodki_lacznosci
277,Glauberyt PM-98,0WWSKU0F2FJ6WV3U4,bron
278,Terminal Bluebird,Y5EPFYTV1PCNZJ6W8,srodki_lacznosci
279,Glock 19,0PATGY1U4X8SJDGZP,bron
280,Apteczka taktyczna,LH0PTS1X24PGAU8EF,inne
281,Radiostacja nasobna,4N0KHRLM3CPKWDS6Y,srodki_lacznosci
282,Glock 26,A0BYAR1K1X62FYJGX,bron
283,Tonfa,STACKDFP3HZ9GKB7L,bron
284,Radiostacja nasobna,DDB3XV953NLUSK3XY,srodki_lacznosci
285,Radiostacja nasobna,4BPF36RGXPMLYLJDU,srodki_lacznosci
286,Alkomat AlcoQuant 6020,G4ZVUZHE3PDTT7BEF,inne
287,Terminal Bluebird,LM9868XY96WX77ZA2,srodki_lacznosci
288,Radiostacja nasobna,L4HJA9NS6RWGTATPJ,srodki_lacznosci
289,Terminal Bluebird,NFCUEN5V81T8N0HR0,srodki_lacznosci
290,Radiostacja nasobna,03KT0GR14CH6CZ1N0,srodki_lacznosci
291,Tonfa,ZFLH316VXYFN757VJ,bron
292,Terminal Bluebird,8FYDHR5E32DU2GELR,srodki_lacznosci
293,Alkomat AlcoQuant 6020,ZJ5WSNNY8BUX3PNCB,inne
294,Glauberyt PM-98,RFWLFLPR0HJEPS7VY,bron
295,Radiostacja nasobna,RFGPU36J677W422YG,srodki_lacznosci
296,Urzadzenie do detekcji narkotykow AlereTM DDS 2,Y4H4NAHM0L2S7CJJG,inne
297,Glock 17,KA1C4KXH7XWRXCA97,bron
298,Kamizelka kuloodporna,S701D42WXABNDGJVR,inne
299,Terminal Bluebird,8PF0HRRG1XPN2HPT6,srodki_lacznosci
300,H&K MP5A3,UM0SPHRMXRHFGCWX7,bron
301,Terminal Bluebird,PZJG6CXB07CWR7TSE,srodki_lacznosci
302,Urzadzenie do detekcji narkotykow AlereTM DDS 2,7H8YDRL15YES2P3RZ,inne
303,Beretta APX,UELNG7EM7CM0LFLXV,bron
304,HK UMP,38SKLUH510H5TX28E,bron
305,Sako TRG-21,LWSMYR2Y5EWAGEUBK,bron
306,Beretta APX,U01X7EST1JFVM476N,bron
307,Glock 17,J2B7M4LP9YJRX6P9T,bron
308,Radiostacja nasobna,97ZUU7LM0JC6LKXPE,srodki_lacznosci
309,Apteczka taktyczna,6LXX1Z0C23SLD8A02,inne
310,Glock 17,1NTZR8T6874EKJ2YK,bron
311,H&K MP5A3,ZP7TYEBB0M2JD92G6,bron
312,Radiostacja nasobna,YDUK5G887TCPECC90,srodki_lacznosci
313,Apteczka taktyczna,RGN4MNND1FTWC2BJM,inne
314,Volkswagen Crafter,9B3WTS520AV9LR3AJ,pojazd
315,Radiostacja nasobna,ZMLMN1562DC5A9YWS,srodki_lacznosci
316,Alkomat AlcoQuant 6020,0VKEKJ937HZM1M35X,inne
317,Radiostacja nasobna,JGCDX2KX5CK9KAFAK,srodki_lacznosci
318,Glock 26,WGWP99VU633LJ7BWS,bron
319,Alkomat AlcoQuant 6020,ANC7PE2V5CRWC78LT,inne
320,Radiostacja nasobna,GRAJSETL8FNSBXCZE,srodki_lacznosci
321,Radiostacja nasobna,NUN7ZMC64RK01L0GG,srodki_lacznosci
322,Kajdanki,5LSSDN7C2Z086GYE9,inne
323,Toyota Corolla,35JEYPG97NBK4VUG3,pojazd
324,Radiostacja nasobna,WB8USKRF7SLKEV131,srodki_lacznosci
325,Radiostacja nasobna,VVDF6YAW7UVCRS86D,srodki_lacznosci
326,Radiostacja nasobna,85TSRYSS1CUDH103K,srodki_lacznosci
327,Alkomat AlcoQuant 6020,W0CB78SV4NM2DPJ13,inne
328,Terminal Bluebird,4Y6MXKZ951D3H3XVA,srodki_lacznosci
329,Urzadzenie do detekcji narkotykow AlereTM DDS 2,C2XSL4Y39J3AXH3X1,inne
330,Terminal Bluebird,UL05JKRB0WMZALTRL,srodki_lacznosci
331,Tonfa,LDVBVNKB4K7HUATLP,bron
332,Urzadzenie do detekcji narkotykow AlereTM DDS 2,YZM8H2FJ3STUXJC8T,inne
333,Urzadzenie do detekcji narkotykow AlereTM DDS 2,XY55F8533B93C45EK,inne
334,Glauberyt PM-98,BT3U2X8P5FTRU9P1G,bron
335,Kamizelka kuloodporna,0V48KESWXC69YCZCR,inne
336,Toyota Corolla,S68WJ4TZXUYTE3CSR,pojazd
337,Terminal Bluebird,628KUFGA8XNM3RZ43,srodki_lacznosci
338,H&K MP5A3,F31163J35RSELJSA1,bron
339,Hyundai Tucson,CYPL87NX6RERUMYCL,pojazd
340,Glock 26,EGDY5KLL82TR4S31A,bron
341,Latarka taktyczna,VLPRKVAY77L0TY78U,inne
342,Sako TRG-21,SCXJYNWZ1MXXK1BJL,bron
343,Kamizelka kuloodporna,EAS7MUA91WK1MHL9P,inne
344,BMW serii 3,39N32P8427F4CL6JS,pojazd
345,Glock 17,A9LSVVK83ZSW6XTNE,bron
346,H&K MP5A3,XN3EW26D3EC0JMB6Z,bron
347,Terminal Bluebird,T64N9B1C0F9FVZMFZ,srodki_lacznosci
348,Terminal Bluebird,J3NLJR0GX9C05VV5P,srodki_lacznosci
349,Skoda Superb,AZN1W00TXYW8J17KP,pojazd
350,Latarka taktyczna,M5DH78UUXEN85PG12,inne
351,Kajdanki,DZJW308B08DA7NX7W,inne
352,Opel Crossland X,K6HAMB9J67T27ZJNF,pojazd
353,Apteczka taktyczna,AP7T7FBJ943Z8EAP5,inne
354,Volkswagen Crafter,ZU41NN7B05D3K7K5D,pojazd
355,Glock 17,VPG54W8D74ZWJVVL1,bron
356,Radiostacja nasobna,LZ0KCV5F93NR0ABR4,srodki_lacznosci
357,Volkswagen Transporter,MV48BX744Z87BZN10,pojazd
358,Terminal Bluebird,FPNZ1JGL9X7DUXUJ6,srodki_lacznosci
359,H&K G36,0J6KRKUP17492KBKU,bron
360,Glock 26,V27EXFRL1FNW6WRJ9,bron
361,Radiostacja nasobna,7FHJ9H1520LTW1SUZ,srodki_lacznosci
362,Volkswagen Crafter,ND661K5D6BFSA96GE,pojazd
363,Latarka taktyczna,Z7DHCC6B6DC5VPFSR,inne
364,Kajdanki,2U7ZMAT21VDEZB619,inne
365,Walther P99,1VUFLY3Z2XMMUNVP0,bron
366,Volkswagen Crafter,PEP4JY096A13TL33T,pojazd
367,Hyundai Tucson,BSK3CHEH0XUGDZX3R,pojazd
368,Radiostacja nasobna,0C0KWEUV6KFV44195,srodki_lacznosci
369,Volkswagen Crafter,U4ZWFR9P9BK053E71,pojazd
370,Volkswagen Crafter,Z07552JX7EE9C6YPY,pojazd
371,Kamizelka kuloodporna,KB2VBLK4099W012NW,inne
372,Sako TRG-21,Y73S7HWG2U4H47TUS,bron
373,Radiostacja nasobna,SCBD7G0K7TW4AFBA8,srodki_lacznosci
374,Radiostacja nasobna,J25S2YE23C62J4PZC,srodki_lacznosci
375,Radiostacja nasobna,EXUG12EY09PLEYGT2,srodki_lacznosci
376,Terminal Bluebird,PVGHLKKF6CPEP9GJ5,srodki_lacznosci
377,Kajdanki,JK74KZYS48K5EM4PA,inne
378,Tonfa,0Z6CNJC69Y3HM4N66,bron
379,Latarka taktyczna,0XAJBANP8J2UUNZ8X,inne
380,Volkswagen Transporter,5E2S8JSCXTLH0Z1R1,pojazd
381,Terminal Bluebird,MXGLF80W47E17H7V9,srodki_lacznosci
382,Kamizelka kuloodporna,S5AGDGSX3ECBCXH17,inne
383,Radiostacja nasobna,0GUJ0V0F2MJVYY1BJ,srodki_lacznosci
384,Skoda Superb,Y8FF6FUV7W1ZT07GA,pojazd
385,Latarka taktyczna,BHY0TXL9057LRU700,inne
386,Terminal Bluebird,R16HYD5813UDU83KY,srodki_lacznosci
387,Radiostacja nasobna,NR7BELEEXRF5A74PU,srodki_lacznosci
388,BMW serii 3,25WLWC6A46PNEE411,pojazd
389,Radiostacja nasobna,1A03LRBT6E364DWEC,srodki_lacznosci
390,Latarka taktyczna,E8937DJF8W5TMFSTT,inne
391,Glock 17,PV3PT21N45HNFNJ0E,bron
392,Volkswagen Crafter,PJYPTV468KKLJPBWD,pojazd
393,Volkswagen Crafter,EUSGYPB81RY13WRUR,pojazd
394,Kamizelka kuloodporna,ZZHEGBC297RGBG1BT,inne
395,Glock 17,1LYNM2W109DKFFU1Y,bron
396,Terminal Bluebird,4CWX0EJT59790B5NZ,srodki_lacznosci
397,Glock 17,H5ZB4HZM6LS9MRXX8,bron
398,BMW serii 3,8D0NDWZR89B7ACUA7,pojazd
399,Kamizelka kuloodporna,FSZRX3RP7KACT2M1F,inne
400,Urzadzenie do detekcji narkotykow AlereTM DDS 2,3KH00NCL1Z0AKUVA9,inne
401,H&K G36,2NYK6XJ18XK891RU9,bron
402,Terminal Bluebird,68VCADS95V6RL93SK,srodki_lacznosci
