ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
42,Komisariat 43,"aleja Rataja 101
18-611 Jaworzno",11
43,Komisariat 44,"al. Piaskowa 95
59-665 Kalisz",7
44,Komisariat 45,"ul. Lotnicza 06
91-700 Bigoraj",7
45,Komisariat 46,"aleja Waowa 57/33
51-216 Szczecinek",7
46,Komisariat 47,"plac Bolesawa Krzywoustego 036
75-554 Kutno",9
47,Komisariat 48,"pl. Zaciszna 09/12
09-842 Brodnica",10
48,Komisariat 49,"ulica Plazowa 00/88
20-723 Bartoszyce",10
49,Komisariat 50,"aleja Skargi 07
74-044 Czechowice-Dziedzice",8
50,Komisariat 51,"pl. Rolna 62
85-852 Tarnowskie Gory",8
51,Komisariat 52,"plac Narcyzowa 64
66-116 Knurow",9
52,Komisariat 53,"plac Zamkowa 557
21-436 Gorlice",5
53,Komisariat 54,"aleja Srebrna 480
80-475 Kodzko",13
54,Komisariat 55,"pl. Piastowska 32/97
58-602 Koo",5
55,Komisariat 56,"pl. Zrodlana 731
08-520 Rybnik",5
56,Komisariat 57,"aleja Ciasna 89/30
84-124 Kielce",12
57,Komisariat 58,"pl. Jaskocza 76
50-358 Ostrow Mazowiecka",8
58,Komisariat 59,"ulica Stolarska 812
86-332 Wrocaw",10
59,Komisariat 60,"ul. Turkusowa 81
82-296 Sanok",11
60,Komisariat 61,"al. Andersa 02/74
95-497 Legionowo",13
61,Komisariat 62,"aleja Pisudskiego 136
72-449 Sieradz",7
62,Komisariat 63,"ulica Przemysowa 952
80-446 Pruszcz Gdanski",7
63,Komisariat 64,"ulica Poprzeczna 06/34
17-841 Olesnica",12
64,Komisariat 65,"ulica Skodowskiej-Curie 63/51
37-882 Tarnowskie Gory",13
65,Komisariat 66,"ulica Wiklinowa 75/03
69-375 Nowa Sol",10
66,Komisariat 67,"pl. Prosta 763
87-740 Sieradz",13
67,Komisariat 68,"ulica Wschodnia 04
44-254 Jaworzno",17
68,Komisariat 69,"ul. Pogodna 805
71-358 Kalisz",5
69,Komisariat 70,"plac Wspolna 53/89
53-871 Grudziadz",10
70,Komisariat 71,"ulica Jagiellonska 97
30-624 Bolesawiec",16
71,Komisariat 72,"pl. Grzybowa 10/32
93-615 Zgierz",9
72,Komisariat 73,"ulica Konstytucji 3 Maja 17
77-600 Swietochowice",11
73,Komisariat 74,"aleja Morelowa 42
88-911 Pabianice",6
74,Komisariat 75,"al. Poudniowa 984
95-373 Sandomierz",12
75,Komisariat 76,"pl. Drzymay 85
24-272 Starogard Gdanski",6
76,Komisariat 77,"ulica Jezynowa 230
11-913 Gdansk",14
77,Komisariat 78,"plac Strazacka 11/43
91-750 Bolesawiec",12
78,Komisariat 79,"ul. Jaboniowa 71/44
72-678 Sopot",11
79,Komisariat 80,"ul. Agrestowa 229
95-552 owicz",13
80,Komisariat 81,"aleja Zielona 92
03-565 Chorzow",8
81,Komisariat 82,"al. Zaciszna 821
66-041 Kodzko",14
82,Komisariat 83,"ul. Wiatraczna 182
07-633 Chrzanow",4
83,Komisariat 84,"aleja Glowna 470
62-774 Turek",10
84,Komisariat 85,"ul. Bydgoska 18
22-864 Katowice",12
85,Komisariat 86,"plac Maja 36
79-487 Sieradz",9
86,Komisariat 87,"al. Kopernika 21
52-794 Tychy",12
87,Komisariat 88,"pl. Krasickiego 302
58-831 Sochaczew",11
88,Komisariat 89,"aleja Rynek 619
04-965 Bedzin",7
89,Komisariat 90,"aleja Wczasowa 880
08-275 Turek",6
90,Komisariat 91,"aleja Nadbrzezna 88/18
89-589 Olsztyn",8
91,Komisariat 92,"ulica Stefana Batorego 40/89
13-448 Dzierzoniow",6
92,Komisariat 93,"aleja Cisowa 39
47-481 Zdunska Wola",5
93,Komisariat 94,"plac Jana Pawa II 44
71-288 Przemysl",17
94,Komisariat 95,"aleja Pisudskiego 50
47-517 Stargard Szczecinski",10
95,Komisariat 96,"pl. Strumykowa 59
22-811 Olsztyn",7
96,Komisariat 97,"plac Jesienna 54
87-557 Pruszcz Gdanski",10
97,Komisariat 98,"pl. Sowackiego 01
76-796 Swidnica",4
98,Komisariat 99,"ul. Wolnosci 56
71-124 Otwock",8
99,Komisariat 100,"aleja Bursztynowa 20
60-331 Wacz",13
100,Komisariat 101,"pl. Zwyciestwa 25/10
09-602 Opole",22
101,Komisariat 102,"ul. Jaworowa 622
07-205 Gizycko",11
102,Komisariat 103,"pl. Stroma 11
41-836 Warszawa",9
103,Komisariat 104,"ul. Hutnicza 059
72-711 Goleniow",9
104,Komisariat 105,"aleja Szmaragdowa 533
08-659 Swietochowice",7
105,Komisariat 106,"plac Zdrojowa 96/38
85-475 Swidnica",12
106,Komisariat 107,"pl. Poniatowskiego 04/67
04-380 Olsztyn",18
107,Komisariat 108,"aleja Ogrodowa 702
53-741 Chorzow",6
108,Komisariat 109,"ulica Nakowskiej 21/07
45-373 Tarnobrzeg",13
109,Komisariat 110,"al. Mazurska 686
82-457 Augustow",15
110,Komisariat 111,"ul. Wysoka 200
76-084 Zamosc",6
111,Komisariat 112,"al. Kosciuszki 180
20-954 Wacz",13
112,Komisariat 113,"pl. Morcinka 41
68-169 Chorzow",15
113,Komisariat 114,"plac Poniatowskiego 059
14-246 Brzeg",11
114,Komisariat 115,"al. Jasminowa 04/48
64-253 Ostroeka",5
115,Komisariat 116,"aleja Porzeczkowa 32/96
50-075 Starachowice",11
116,Komisariat 117,"ulica Orzechowa 77/90
44-833 Mysowice",10
117,Komisariat 118,"al. Czestochowska 725
97-337 Sroda Wielkopolska",8
118,Komisariat 119,"plac Sowianska 80
04-691 Leszno",8
119,Komisariat 120,"ulica Perowa 16/23
69-340 Gorzow Wielkopolski",4
120,Komisariat 121,"plac Debowa 67/47
40-719 Koo",8
121,Komisariat 122,"pl. Korczaka 389
97-165 Suwaki",11
122,Komisariat 123,"al. Zacisze 248
27-783 Zamosc",13
123,Komisariat 124,"ulica Konopnickiej 328
34-559 Zambrow",4
124,Komisariat 125,"ul. Poziomkowa 39
28-593 Jarocin",9
125,Komisariat 126,"ul. Boczna 941
98-897 Cieszyn",16
126,Komisariat 127,"ulica Mia 41/38
33-896 Reda",9
127,Komisariat 128,"ulica Sikorskiego 88/55
67-293 Zdunska Wola",18
128,Komisariat 129,"ul. Wesoa 17/48
61-970 Bydgoszcz",10
129,Komisariat 130,"aleja Mickiewicza 233
68-706 Biaogard",13
130,Komisariat 131,"pl. Radosna 66/41
91-798 Biaa Podlaska",10
131,Komisariat 132,"pl. Brzoskwiniowa 11/27
52-521 Mielec",6
132,Komisariat 133,"ul. Sciegiennego 94
87-927 Debica",9
133,Komisariat 134,"aleja Klasztorna 939
01-407 Szczecinek",11
134,Komisariat 135,"plac Prusa 40/28
32-846 Mikoow",8
135,Komisariat 136,"plac Glowna 71/33
73-392 Mikoow",14
136,Komisariat 137,"plac Zwirowa 357
74-949 Jaworzno",8
137,Komisariat 138,"ulica Bankowa 28
41-012 Chorzow",18
138,Komisariat 139,"al. Nakowskiej 38/35
11-042 owicz",13
139,Komisariat 140,"al. Zurawia 90
63-104 Sanok",10
140,Komisariat 141,"pl. Wiosenna 48
39-431 Legnica",16
141,Komisariat 142,"ul. Lipca 63/50
23-148 Krakow",13
142,Komisariat 143,"al. Plater 94
52-609 Mawa",7
143,Komisariat 144,"ul. Ceglana 47/00
91-488 Wielun",14
144,Komisariat 145,"aleja Korczaka 50/14
28-593 Sosnowiec",10
145,Komisariat 146,"al. Sowackiego 81/43
75-109 Gdansk",11
146,Komisariat 147,"ulica Stefana Batorego 635
27-522 owicz",19
147,Komisariat 148,"ul. Gaczynskiego 01/35
07-082 Mysowice",11
148,Komisariat 149,"ulica Wojciecha 55
69-874 Kedzierzyn-Kozle",17
149,Komisariat 150,"ulica Boczna 999
91-857 Zabrze",9
150,Komisariat 151,"aleja Tulipanowa 812
71-942 Dzierzoniow",9
151,Komisariat 152,"ul. Grottgera 89/81
53-424 Koscierzyna",3
152,Komisariat 153,"pl. Gogowa 73
91-129 Tczew",9
153,Komisariat 154,"ulica Warszawska 346
36-851 Nowy Targ",12
154,Komisariat 155,"aleja Gogowa 68/26
05-451 Bielsk Podlaski",9
155,Komisariat 156,"pl. Kasztanowa 18
10-511 Starogard Gdanski",14
156,Komisariat 157,"plac Szymanowskiego 462
42-050 Bielawa",4
157,Komisariat 158,"pl. Plater 57/72
51-653 Olesnica",14
158,Komisariat 159,"ulica Grabowa 53
43-272 Chem",10
159,Komisariat 160,"al. Krokusowa 337
45-603 Nowy Targ",15
160,Komisariat 161,"al. Sikorskiego 13/88
07-787 Wyszkow",12
161,Komisariat 162,"pl. Podwale 017
79-824 Pruszkow",15
162,Komisariat 163,"ulica Sawickiej 10/69
29-704 Opole",7
163,Komisariat 164,"pl. Lotnicza 478
82-794 Chorzow",9
164,Komisariat 165,"ul. Torunska 64
58-396 Bigoraj",9
165,Komisariat 166,"al. Krasickiego 058
59-052 Sosnowiec",7
166,Komisariat 167,"ul. Nadrzeczna 80
63-581 Bielsko-Biaa",11
167,Komisariat 168,"plac Niecaa 91/26
76-303 Ostrow Mazowiecka",6
168,Komisariat 169,"aleja Jaboniowa 610
54-667 Supsk",7
169,Komisariat 170,"aleja Spokojna 208
21-094 Wielun",4
170,Komisariat 171,"al. Daszynskiego 679
15-862 Wejherowo",7
171,Komisariat 172,"al. Bankowa 88/73
31-332 Koo",12
172,Komisariat 173,"pl. Gowackiego 62/74
36-814 Tarnowskie Gory",9
173,Komisariat 174,"al. Gorska 20
73-935 Skierniewice",9
174,Komisariat 175,"ul. Lawendowa 86
15-223 Poznan",7
175,Komisariat 176,"al. Rycerska 00
79-139 Krasnik",8
176,Komisariat 177,"plac Lesna 86/62
87-942 Legionowo",12
177,Komisariat 178,"ulica Poziomkowa 27/91
21-609 Wrocaw",18
178,Komisariat 179,"ul. Przechodnia 943
49-876 Supsk",12
179,Komisariat 180,"aleja Kraszewskiego 32/62
50-355 Gorzow Wielkopolski",11
180,Komisariat 181,"ul. Szymanowskiego 283
77-139 Olesnica",11
181,Komisariat 182,"pl. Piekna 309
15-605 Otwock",11
182,Komisariat 183,"ul. Goebia 61/48
81-414 Mawa",8
183,Komisariat 184,"ulica Mia 46
67-452 Stalowa Wola",9
184,Komisariat 185,"ul. Sowackiego 69/73
87-591 Krasnik",9
185,Komisariat 186,"pl. Jagodowa 18
26-637 Zielona Gora",7
186,Komisariat 187,"plac Duga 19/69
83-519 Zabrze",11
187,Komisariat 188,"ul. Spacerowa 68
64-639 Pabianice",15
188,Komisariat 189,"plac Podwale 463
39-661 Kluczbork",12
189,Komisariat 190,"ul. Gornicza 17
77-907 Ketrzyn",12
190,Komisariat 191,"ulica Sadowa 143
06-409 Turek",12
191,Komisariat 192,"pl. Narcyzowa 48
87-796 Nowy Sacz",11
192,Komisariat 193,"al. Podmiejska 471
85-028 Oawa",6
193,Komisariat 194,"pl. Staszica 55
12-516 Wejherowo",5
194,Komisariat 195,"pl. Matejki 19
77-043 Bartoszyce",5
195,Komisariat 196,"pl. Gorska 150
08-436 Jelenia Gora",5
196,Komisariat 197,"al. Strazacka 48/76
15-711 Piotrkow Trybunalski",6
197,Komisariat 198,"plac Lubelska 50
88-370 Nowy Targ",9
198,Komisariat 199,"pl. Akacjowa 889
61-707 Ostroeka",10
199,Komisariat 200,"ulica Staszica 27
98-262 odz",14
200,Komisariat 201,"ul. Sikorskiego 56
96-327 Bedzin",13
201,Komisariat 202,"ul. Wroblewskiego 43
03-179 Kwidzyn",7
202,Komisariat 203,"plac Reja 830
02-005 Gliwice",7
203,Komisariat 204,"plac Kielecka 92/74
49-896 Czestochowa",4
204,Komisariat 205,"ul. Zamkowa 74
78-870 Stalowa Wola",16
205,Komisariat 206,"plac Plazowa 95/99
91-515 Ostrow Mazowiecka",12
206,Komisariat 207,"plac Sportowa 287
31-867 Chrzanow",13
207,Komisariat 208,"al. Soneczna 61
90-700 Katowice",12
208,Komisariat 209,"al. Koataja 44
04-509 Ostrow Mazowiecka",9
209,Komisariat 210,"aleja Srebrna 89
29-876 Bechatow",6
210,Komisariat 211,"al. Strazacka 054
37-115 Gorlice",10
211,Komisariat 212,"aleja Orzechowa 41
10-340 Wrzesnia",15
212,Komisariat 213,"ul. Akacjowa 78
09-149 Zielona Gora",17
213,Komisariat 214,"pl. Podmiejska 739
26-934 Tarnowskie Gory",5
214,Komisariat 215,"al. anowa 24
29-268 Pszczyna",10
215,Komisariat 216,"al. Kolonia 08/75
04-235 Cieszyn",14
216,Komisariat 217,"pl. Lawendowa 95
73-731 Nowy Targ",8
217,Komisariat 218,"pl. Duga 66
29-343 Iawa",9
218,Komisariat 219,"al. Czestochowska 88/59
54-236 Jaworzno",9
219,Komisariat 220,"al. Stroma 19
22-496 Turek",18
220,Komisariat 221,"ulica Handlowa 15/44
10-295 Augustow",12
221,Komisariat 222,"plac Piastowska 572
90-582 Czestochowa",8
222,Komisariat 223,"aleja Zielona 251
09-384 Ostroda",5
223,Komisariat 224,"plac Drzymay 65/70
13-323 Czerwionka-Leszczyny",9
224,Komisariat 225,"aleja Turkusowa 02
82-414 Mawa",8
225,Komisariat 226,"ul. Floriana 59
41-484 Tczew",13
226,Komisariat 227,"plac Nakowskiej 07/39
25-251 Tarnowskie Gory",15
227,Komisariat 228,"aleja Orla 63
91-625 Pock",13
228,Komisariat 229,"ul. Batycka 36/48
79-369 Krasnik",12
229,Komisariat 230,"ul. Wiosenna 81
78-613 Jaworzno",10
230,Komisariat 231,"ulica Browarna 377
41-297 Olkusz",11
231,Komisariat 232,"plac Okrezna 807
73-056 Suwaki",9
232,Komisariat 233,"plac Podwale 92/44
31-426 Mysowice",9
233,Komisariat 234,"al. Narcyzowa 076
99-398 Zary",11
234,Komisariat 235,"pl. Powstancow 07
14-733 Koscian",17
235,Komisariat 236,"pl. Teczowa 894
02-359 Biaogard",10
236,Komisariat 237,"al. Pocztowa 53/71
68-644 Bielsk Podlaski",7
237,Komisariat 238,"ulica Cegielniana 76
22-735 Legionowo",5
238,Komisariat 239,"ulica Cyprysowa 57
83-795 Legnica",11
239,Komisariat 240,"ulica Nadrzeczna 064
41-842 Zagan",8
240,Komisariat 241,"al. Diamentowa 60
41-625 Ruda Slaska",10
241,Komisariat 242,"aleja Wyszynskiego 25/00
67-851 omza",12
242,Komisariat 243,"pl. Podmiejska 67
23-169 Ciechanow",7
243,Komisariat 244,"aleja Wadysawa Jagiey 40/38
39-904 Tomaszow Mazowiecki",19
244,Komisariat 245,"ulica Staszica 23
65-924 Nowa Ruda",13
245,Komisariat 246,"plac Skadowa 12/11
51-377 owicz",15
246,Komisariat 247,"pl. Zakole 331
74-493 Radomsko",6
247,Komisariat 248,"pl. Piwna 58
05-522 Rumia",15
248,Komisariat 249,"pl. abedzia 33/21
30-315 Bolesawiec",11
249,Komisariat 250,"pl. Piwna 23/01
89-087 Bochnia",13
250,Komisariat 251,"ul. Korczaka 892
94-571 Czerwionka-Leszczyny",9
251,Komisariat 252,"ulica Opolska 524
98-186 Rzeszow",10
252,Komisariat 253,"aleja Skrajna 45/82
81-281 Puawy",12
253,Komisariat 254,"aleja Torowa 93
46-327 Kielce",7
254,Komisariat 255,"pl. Cyprysowa 395
71-064 Wabrzych",7
255,Komisariat 256,"aleja Wiatraczna 53
96-763 Zamosc",11
256,Komisariat 257,"ul. Klasztorna 06/73
23-835 Zyrardow",13
257,Komisariat 258,"ul. Sadowa 35/01
90-668 Zawiercie",10
258,Komisariat 259,"aleja Poziomkowa 71/50
85-775 Koscian",10
259,Komisariat 260,"aleja Kasztanowa 637
32-176 Pabianice",9
260,Komisariat 261,"aleja Miosza 246
56-458 Marki",11
261,Komisariat 262,"pl. Poprzeczna 611
86-575 Bydgoszcz",15
262,Komisariat 263,"al. Cegielniana 54
83-014 Gdynia",11
263,Komisariat 264,"pl. Zaciszna 339
13-640 Myszkow",8
264,Komisariat 265,"plac Krancowa 312
83-230 Raciborz",10
265,Komisariat 266,"ul. Maja 70/46
66-513 Szczecinek",4
266,Komisariat 267,"ulica Ogrodowa 339
20-066 Tczew",11
267,Komisariat 268,"al. Turystyczna 36
35-420 Leszno",10
268,Komisariat 269,"pl. Wybickiego 329
54-110 Zywiec",9
269,Komisariat 270,"plac Zytnia 437
38-433 Koscierzyna",11
270,Komisariat 271,"pl. Sowackiego 65/07
96-857 Pabianice",10
271,Komisariat 272,"ulica Matejki 05
43-293 Ciechanow",10
272,Komisariat 273,"aleja Sienkiewicza 05
60-275 Marki",7
273,Komisariat 274,"plac Dabrowskiego 216
69-485 Malbork",13
274,Komisariat 275,"al. Stycznia 94
08-484 Legionowo",14
275,Komisariat 276,"pl. Witosa 30
74-729 Myszkow",7
276,Komisariat 277,"aleja Dworcowa 91/74
30-867 Konin",11
277,Komisariat 278,"ulica Prusa 89
59-578 Kalisz",8
278,Komisariat 279,"pl. Kolonia 643
04-863 Krakow",8
279,Komisariat 280,"al. Lazurowa 107
24-136 Bolesawiec",7
280,Komisariat 281,"aleja Goebia 26
61-587 Wodzisaw Slaski",9
281,Komisariat 282,"aleja Bukowa 43/01
27-297 Kodzko",15
282,Komisariat 283,"ul. Dworska 249
79-304 Zgorzelec",8
283,Komisariat 284,"ul. Parkowa 447
04-465 Gdynia",12
284,Komisariat 285,"al. Brzechwy 077
93-396 Wocawek",11
285,Komisariat 286,"pl. Sikorskiego 21/78
43-473 Ruda Slaska",10
286,Komisariat 287,"pl. Okrzei 90/68
36-784 Koszalin",8
287,Komisariat 288,"ul. Szkolna 855
64-742 Lubliniec",7
288,Komisariat 289,"pl. Kielecka 907
15-571 Gorzow Wielkopolski",7
289,Komisariat 290,"plac Magnoliowa 181
81-900 Chorzow",5
290,Komisariat 291,"ul. Handlowa 125
82-599 Kalisz",9
291,Komisariat 292,"pl. Jagiellonska 006
91-775 Leszno",11
292,Komisariat 293,"pl. Warynskiego 90
64-311 Oawa",11
293,Komisariat 294,"ulica Stawowa 356
81-512 Wrocaw",7
294,Komisariat 295,"al. Brzozowa 801
75-719 Chem",17
295,Komisariat 296,"pl. Zwyciestwa 390
53-242 Gogow",9
296,Komisariat 297,"aleja Kowalska 108
03-762 Wyszkow",16
297,Komisariat 298,"ulica Wolnosci 50
75-248 Wocawek",11
298,Komisariat 299,"pl. Gorna 95/44
46-026 Grodzisk Mazowiecki",14
299,Komisariat 300,"plac Niepodlegosci 02
87-264 Oawa",14
300,Komisariat 301,"plac Wojciecha 88/27
58-443 Gizycko",9
301,Komisariat 302,"aleja Zaciszna 626
73-671 Zgorzelec",8
302,Komisariat 303,"ulica Koralowa 73/73
70-547 Biaogard",8
303,Komisariat 304,"plac Stroma 102
90-631 Mielec",7
304,Komisariat 305,"aleja Kraszewskiego 39
29-395 Gizycko",12
305,Komisariat 306,"al. Rzeczna 28
98-024 Konin",13
306,Komisariat 307,"plac Kasztanowa 81
45-620 Piekary Slaskie",14
307,Komisariat 308,"al. Zakatek 206
67-323 Pruszcz Gdanski",14
308,Komisariat 309,"al. Staszica 03/83
65-937 Woomin",11
309,Komisariat 310,"plac Widokowa 60
02-423 Skarzysko-Kamienna",7
310,Komisariat 311,"pl. Kaliska 45/46
41-144 odz",10
311,Komisariat 312,"aleja Rycerska 63/71
72-306 Gogow",6
312,Komisariat 313,"ulica Zurawia 28/74
04-418 Zabrze",13
313,Komisariat 314,"ulica Duga 14/45
69-025 Krosno",17
314,Komisariat 315,"ul. Wrocawska 00
73-039 Sroda Wielkopolska",9
315,Komisariat 316,"al. Nadrzeczna 283
17-838 Lebork",11
316,Komisariat 317,"al. Strzelecka 85
17-583 Oawa",8
317,Komisariat 318,"aleja Zakole 49/92
45-659 Swiecie",5
318,Komisariat 319,"ul. Bursztynowa 82/39
78-079 Ek",11
319,Komisariat 320,"ul. Stolarska 25/80
89-632 Nysa",5
320,Komisariat 321,"al. Zurawia 301
51-767 Chem",10
321,Komisariat 322,"plac Kilinskiego 372
16-551 Suwaki",9
322,Komisariat 323,"plac Borowa 440
06-975 Olsztyn",11
323,Komisariat 324,"al. Poziomkowa 545
12-212 Otwock",12
324,Komisariat 325,"ulica Szeroka 31/08
15-638 Myszkow",9
325,Komisariat 326,"plac Jana 516
23-096 Ostroeka",9
326,Komisariat 327,"pl. Okulickiego 284
19-448 Bolesawiec",13
327,Komisariat 328,"al. Sonecznikowa 75
90-993 Wyszkow",13
328,Komisariat 329,"al. Lawendowa 943
45-150 Biaogard",12
329,Komisariat 330,"al. Norwida 46/08
70-716 Biaogard",9
330,Komisariat 331,"ul. Wiklinowa 06
99-336 Tomaszow Mazowiecki",8
331,Komisariat 332,"ulica Boczna 22
96-665 Wielun",8
332,Komisariat 333,"plac Rejtana 332
11-731 Dzierzoniow",6
333,Komisariat 334,"al. Ponocna 01
80-992 Pruszkow",18
334,Komisariat 335,"ul. Bema 52
10-149 Piaseczno",9
335,Komisariat 336,"ulica Mysliwska 515
82-758 Wrzesnia",11
336,Komisariat 337,"plac Szeroka 46
71-226 Ponsk",13
337,Komisariat 338,"ul. Gornicza 76/10
61-520 Nowa Ruda",10
338,Komisariat 339,"plac Mieszka I 55
03-452 Marki",12
339,Komisariat 340,"ulica Srednia 769
76-318 Czestochowa",7
340,Komisariat 341,"ul. Zwyciestwa 69
73-159 Wrocaw",7
341,Komisariat 342,"ul. Zakole 901
46-800 Lubartow",11
342,Komisariat 343,"aleja Tysiaclecia 670
50-849 Nysa",10
343,Komisariat 344,"ul. Towarowa 95/21
76-627 Brzeg",10
344,Komisariat 345,"plac Korczaka 42
11-615 Wocawek",10
345,Komisariat 346,"al. Boczna 00
95-986 Wyszkow",8
346,Komisariat 347,"pl. Porzeczkowa 179
58-271 ukow",6
347,Komisariat 348,"al. Chmielna 21
30-858 Bydgoszcz",8
348,Komisariat 349,"ulica Armii Krajowej 67/32
47-630 Jastrzebie-Zdroj",9
349,Komisariat 350,"aleja Lubelska 51/28
24-816 Reda",8
350,Komisariat 351,"plac Krancowa 34/62
06-340 Woomin",10
351,Komisariat 352,"ul. Truskawkowa 78/46
17-928 Minsk Mazowiecki",11
352,Komisariat 353,"ulica Wiazowa 68/27
09-151 Pock",8
353,Komisariat 354,"aleja Rzeczna 12
94-250 Tarnowskie Gory",18
354,Komisariat 355,"al. Robotnicza 00/89
45-383 Nowy Targ",10
355,Komisariat 356,"ulica Stawowa 782
87-874 Nysa",9
356,Komisariat 357,"plac Reymonta 86/06
27-526 Wagrowiec",10
357,Komisariat 358,"al. Poznanska 75/96
31-910 Puawy",5
358,Komisariat 359,"pl. Morcinka 79/17
98-985 Wrocaw",14
359,Komisariat 360,"ul. Sawickiej 88/96
34-587 Jarosaw",12
360,Komisariat 361,"ulica Konstytucji 3 Maja 58
20-334 Leszno",8
361,Komisariat 362,"ul. Niepodlegosci 246
61-890 Sopot",10
362,Komisariat 363,"aleja Kosciuszki 10/68
02-913 Swidnica",10
363,Komisariat 364,"pl. Glowna 465
77-809 Gogow",4
364,Komisariat 365,"aleja Kosynierow 667
13-232 Brzeg",8
365,Komisariat 366,"pl. Mickiewicza 06
28-882 Srem",10
366,Komisariat 367,"ul. Graniczna 38/15
98-458 Turek",15
367,Komisariat 368,"aleja Daszynskiego 431
33-252 Piotrkow Trybunalski",8
368,Komisariat 369,"aleja Magnoliowa 00
76-304 Starachowice",11
369,Komisariat 370,"ulica Srodkowa 339
09-852 Wagrowiec",17
370,Komisariat 371,"ul. Lwowska 18
04-989 Knurow",12
371,Komisariat 372,"ulica Zeglarska 02/53
73-367 Stalowa Wola",10
372,Komisariat 373,"ulica Zeglarska 643
21-726 Ciechanow",11
373,Komisariat 374,"pl. Ksiezycowa 92/51
84-431 Myszkow",13
374,Komisariat 375,"aleja Wyszynskiego 99/30
50-048 Wejherowo",12
375,Komisariat 376,"pl. Kielecka 550
97-945 Chem",8
376,Komisariat 377,"aleja Zielna 286
80-320 Woomin",9
377,Komisariat 378,"plac Bema 903
88-278 Jawor",12
378,Komisariat 379,"al. Batalionow Chopskich 95/31
77-901 Jastrzebie-Zdroj",10
379,Komisariat 380,"ul. Fredry 488
68-285 Czeladz",8
380,Komisariat 381,"ulica Wilcza 58/64
31-590 Zywiec",14
381,Komisariat 382,"ul. Wiosenna 236
14-998 Turek",12
382,Komisariat 383,"al. Sybirakow 13
29-158 Ostrow Mazowiecka",11
383,Komisariat 384,"aleja Jaowcowa 62
25-756 Bytom",10
384,Komisariat 385,"plac Konwaliowa 79
66-377 Wrzesnia",7
385,Komisariat 386,"pl. Rynek 33
67-347 Polkowice",12
386,Komisariat 387,"ulica Nowa 01/87
50-887 Tarnow",6
387,Komisariat 388,"aleja Dobra 16/15
64-904 Bochnia",14
388,Komisariat 389,"pl. Koataja 427
67-523 Nowy Dwor Mazowiecki",8
