ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
137,Komisariat 138,"ulica Bankowa 28
41-012 Chorzow",35
138,Komisariat 139,"al. Nakowskiej 38/35
11-042 owicz",18
139,Komisariat 140,"al. Zurawia 90
63-104 Sanok",20
140,Komisariat 141,"pl. Wiosenna 48
39-431 Legnica",25
141,Komisariat 142,"ul. Lipca 63/50
23-148 Krakow",24
142,Komisariat 143,"al. Plater 94
52-609 Mawa",19
143,Komisariat 144,"ul. Ceglana 47/00
91-488 Wielun",31
144,Komisariat 145,"aleja Korczaka 50/14
28-593 Sosnowiec",17
145,Komisariat 146,"al. Sowackiego 81/43
75-109 Gdansk",17
146,Komisariat 147,"ulica Stefana Batorego 635
27-522 owicz",25
147,Komisariat 148,"ul. Gaczynskiego 01/35
07-082 Mysowice",16
148,Komisariat 149,"ulica Wojciecha 55
69-874 Kedzierzyn-Kozle",30
149,Komisariat 150,"ulica Boczna 999
91-857 Zabrze",16
150,Komisariat 151,"aleja Tulipanowa 812
71-942 Dzierzoniow",24
151,Komisariat 152,"ul. Grottgera 89/81
53-424 Koscierzyna",16
152,Komisariat 153,"pl. Gogowa 73
91-129 Tczew",20
153,Komisariat 154,"ulica Warszawska 346
36-851 Nowy Targ",24
154,Komisariat 155,"aleja Gogowa 68/26
05-451 Bielsk Podlaski",22
155,Komisariat 156,"pl. Kasztanowa 18
10-511 Starogard Gdanski",23
156,Komisariat 157,"plac Szymanowskiego 462
42-050 Bielawa",11
157,Komisariat 158,"pl. Plater 57/72
51-653 Olesnica",23
158,Komisariat 159,"ulica Grabowa 53
43-272 Chem",21
159,Komisariat 160,"al. Krokusowa 337
45-603 Nowy Targ",27
160,Komisariat 161,"al. Sikorskiego 13/88
07-787 Wyszkow",26
161,Komisariat 162,"pl. Podwale 017
79-824 Pruszkow",21
162,Komisariat 163,"ulica Sawickiej 10/69
29-704 Opole",19
163,Komisariat 164,"pl. Lotnicza 478
82-794 Chorzow",21
164,Komisariat 165,"ul. Torunska 64
58-396 Bigoraj",19
165,Komisariat 166,"al. Krasickiego 058
59-052 Sosnowiec",17
166,Komisariat 167,"ul. Nadrzeczna 80
63-581 Bielsko-Biaa",27
167,Komisariat 168,"plac Niecaa 91/26
76-303 Ostrow Mazowiecka",15
168,Komisariat 169,"aleja Jaboniowa 610
54-667 Supsk",17
169,Komisariat 170,"aleja Spokojna 208
21-094 Wielun",21
170,Komisariat 171,"al. Daszynskiego 679
15-862 Wejherowo",19
171,Komisariat 172,"al. Bankowa 88/73
31-332 Koo",24
172,Komisariat 173,"pl. Gowackiego 62/74
36-814 Tarnowskie Gory",17
173,Komisariat 174,"al. Gorska 20
73-935 Skierniewice",16
174,Komisariat 175,"ul. Lawendowa 86
15-223 Poznan",15
175,Komisariat 176,"al. Rycerska 00
79-139 Krasnik",20
176,Komisariat 177,"plac Lesna 86/62
87-942 Legionowo",20
177,Komisariat 178,"ulica Poziomkowa 27/91
21-609 Wrocaw",26
178,Komisariat 179,"ul. Przechodnia 943
49-876 Supsk",18
179,Komisariat 180,"aleja Kraszewskiego 32/62
50-355 Gorzow Wielkopolski",21
180,Komisariat 181,"ul. Szymanowskiego 283
77-139 Olesnica",27
181,Komisariat 182,"pl. Piekna 309
15-605 Otwock",18
182,Komisariat 183,"ul. Goebia 61/48
81-414 Mawa",18
183,Komisariat 184,"ulica Mia 46
67-452 Stalowa Wola",17
184,Komisariat 185,"ul. Sowackiego 69/73
87-591 Krasnik",19
185,Komisariat 186,"pl. Jagodowa 18
26-637 Zielona Gora",16
186,Komisariat 187,"plac Duga 19/69
83-519 Zabrze",23
187,Komisariat 188,"ul. Spacerowa 68
64-639 Pabianice",22
188,Komisariat 189,"plac Podwale 463
39-661 Kluczbork",23
189,Komisariat 190,"ul. Gornicza 17
77-907 Ketrzyn",21
190,Komisariat 191,"ulica Sadowa 143
06-409 Turek",19
191,Komisariat 192,"pl. Narcyzowa 48
87-796 Nowy Sacz",22
192,Komisariat 193,"al. Podmiejska 471
85-028 Oawa",14
193,Komisariat 194,"pl. Staszica 55
12-516 Wejherowo",15
194,Komisariat 195,"pl. Matejki 19
77-043 Bartoszyce",8
195,Komisariat 196,"pl. Gorska 150
08-436 Jelenia Gora",17
196,Komisariat 197,"al. Strazacka 48/76
15-711 Piotrkow Trybunalski",13
197,Komisariat 198,"plac Lubelska 50
88-370 Nowy Targ",21
198,Komisariat 199,"pl. Akacjowa 889
61-707 Ostroeka",23
199,Komisariat 200,"ulica Staszica 27
98-262 odz",25
200,Komisariat 201,"ul. Sikorskiego 56
96-327 Bedzin",23
201,Komisariat 202,"ul. Wroblewskiego 43
03-179 Kwidzyn",17
202,Komisariat 203,"plac Reja 830
02-005 Gliwice",19
203,Komisariat 204,"plac Kielecka 92/74
49-896 Czestochowa",7
204,Komisariat 205,"ul. Zamkowa 74
78-870 Stalowa Wola",29
205,Komisariat 206,"plac Plazowa 95/99
91-515 Ostrow Mazowiecka",17
206,Komisariat 207,"plac Sportowa 287
31-867 Chrzanow",24
207,Komisariat 208,"al. Soneczna 61
90-700 Katowice",27
208,Komisariat 209,"al. Koataja 44
04-509 Ostrow Mazowiecka",24
209,Komisariat 210,"aleja Srebrna 89
29-876 Bechatow",18
210,Komisariat 211,"al. Strazacka 054
37-115 Gorlice",17
211,Komisariat 212,"aleja Orzechowa 41
10-340 Wrzesnia",21
212,Komisariat 213,"ul. Akacjowa 78
09-149 Zielona Gora",27
213,Komisariat 214,"pl. Podmiejska 739
26-934 Tarnowskie Gory",14
214,Komisariat 215,"al. anowa 24
29-268 Pszczyna",22
215,Komisariat 216,"al. Kolonia 08/75
04-235 Cieszyn",23
216,Komisariat 217,"pl. Lawendowa 95
73-731 Nowy Targ",17
217,Komisariat 218,"pl. Duga 66
29-343 Iawa",19
218,Komisariat 219,"al. Czestochowska 88/59
54-236 Jaworzno",15
219,Komisariat 220,"al. Stroma 19
22-496 Turek",27
220,Komisariat 221,"ulica Handlowa 15/44
10-295 Augustow",26
221,Komisariat 222,"plac Piastowska 572
90-582 Czestochowa",21
222,Komisariat 223,"aleja Zielona 251
09-384 Ostroda",18
223,Komisariat 224,"plac Drzymay 65/70
13-323 Czerwionka-Leszczyny",23
224,Komisariat 225,"aleja Turkusowa 02
82-414 Mawa",19
225,Komisariat 226,"ul. Floriana 59
41-484 Tczew",24
226,Komisariat 227,"plac Nakowskiej 07/39
25-251 Tarnowskie Gory",23
227,Komisariat 228,"aleja Orla 63
91-625 Pock",25
228,Komisariat 229,"ul. Batycka 36/48
79-369 Krasnik",29
229,Komisariat 230,"ul. Wiosenna 81
78-613 Jaworzno",15
230,Komisariat 231,"ulica Browarna 377
41-297 Olkusz",19
231,Komisariat 232,"plac Okrezna 807
73-056 Suwaki",16
232,Komisariat 233,"plac Podwale 92/44
31-426 Mysowice",23
233,Komisariat 234,"al. Narcyzowa 076
99-398 Zary",19
234,Komisariat 235,"pl. Powstancow 07
14-733 Koscian",28
235,Komisariat 236,"pl. Teczowa 894
02-359 Biaogard",19
236,Komisariat 237,"al. Pocztowa 53/71
68-644 Bielsk Podlaski",15
237,Komisariat 238,"ulica Cegielniana 76
22-735 Legionowo",18
238,Komisariat 239,"ulica Cyprysowa 57
83-795 Legnica",19
239,Komisariat 240,"ulica Nadrzeczna 064
41-842 Zagan",16
240,Komisariat 241,"al. Diamentowa 60
41-625 Ruda Slaska",20
241,Komisariat 242,"aleja Wyszynskiego 25/00
67-851 omza",24
242,Komisariat 243,"pl. Podmiejska 67
23-169 Ciechanow",17
243,Komisariat 244,"aleja Wadysawa Jagiey 40/38
39-904 Tomaszow Mazowiecki",34
244,Komisariat 245,"ulica Staszica 23
65-924 Nowa Ruda",26
245,Komisariat 246,"plac Skadowa 12/11
51-377 owicz",27
246,Komisariat 247,"pl. Zakole 331
74-493 Radomsko",24
247,Komisariat 248,"pl. Piwna 58
05-522 Rumia",23
248,Komisariat 249,"pl. abedzia 33/21
30-315 Bolesawiec",21
249,Komisariat 250,"pl. Piwna 23/01
89-087 Bochnia",21
250,Komisariat 251,"ul. Korczaka 892
94-571 Czerwionka-Leszczyny",24
251,Komisariat 252,"ulica Opolska 524
98-186 Rzeszow",15
252,Komisariat 253,"aleja Skrajna 45/82
81-281 Puawy",22
253,Komisariat 254,"aleja Torowa 93
46-327 Kielce",13
254,Komisariat 255,"pl. Cyprysowa 395
71-064 Wabrzych",10
255,Komisariat 256,"aleja Wiatraczna 53
96-763 Zamosc",27
256,Komisariat 257,"ul. Klasztorna 06/73
23-835 Zyrardow",18
257,Komisariat 258,"ul. Sadowa 35/01
90-668 Zawiercie",25
258,Komisariat 259,"aleja Poziomkowa 71/50
85-775 Koscian",17
259,Komisariat 260,"aleja Kasztanowa 637
32-176 Pabianice",15
260,Komisariat 261,"aleja Miosza 246
56-458 Marki",23
261,Komisariat 262,"pl. Poprzeczna 611
86-575 Bydgoszcz",23
262,Komisariat 263,"al. Cegielniana 54
83-014 Gdynia",18
263,Komisariat 264,"pl. Zaciszna 339
13-640 Myszkow",19
264,Komisariat 265,"plac Krancowa 312
83-230 Raciborz",16
265,Komisariat 266,"ul. Maja 70/46
66-513 Szczecinek",11
266,Komisariat 267,"ulica Ogrodowa 339
20-066 Tczew",16
267,Komisariat 268,"al. Turystyczna 36
35-420 Leszno",17
268,Komisariat 269,"pl. Wybickiego 329
54-110 Zywiec",19
269,Komisariat 270,"plac Zytnia 437
38-433 Koscierzyna",22
270,Komisariat 271,"pl. Sowackiego 65/07
96-857 Pabianice",16
271,Komisariat 272,"ulica Matejki 05
43-293 Ciechanow",22
272,Komisariat 273,"aleja Sienkiewicza 05
60-275 Marki",15
273,Komisariat 274,"plac Dabrowskiego 216
69-485 Malbork",25
274,Komisariat 275,"al. Stycznia 94
08-484 Legionowo",22
275,Komisariat 276,"pl. Witosa 30
74-729 Myszkow",19
276,Komisariat 277,"aleja Dworcowa 91/74
30-867 Konin",20
277,Komisariat 278,"ulica Prusa 89
59-578 Kalisz",21
278,Komisariat 279,"pl. Kolonia 643
04-863 Krakow",23
279,Komisariat 280,"al. Lazurowa 107
24-136 Bolesawiec",22
280,Komisariat 281,"aleja Goebia 26
61-587 Wodzisaw Slaski",21
281,Komisariat 282,"aleja Bukowa 43/01
27-297 Kodzko",25
282,Komisariat 283,"ul. Dworska 249
79-304 Zgorzelec",25
283,Komisariat 284,"ul. Parkowa 447
04-465 Gdynia",21
284,Komisariat 285,"al. Brzechwy 077
93-396 Wocawek",23
285,Komisariat 286,"pl. Sikorskiego 21/78
43-473 Ruda Slaska",16
286,Komisariat 287,"pl. Okrzei 90/68
36-784 Koszalin",20
287,Komisariat 288,"ul. Szkolna 855
64-742 Lubliniec",16
288,Komisariat 289,"pl. Kielecka 907
15-571 Gorzow Wielkopolski",15
289,Komisariat 290,"plac Magnoliowa 181
81-900 Chorzow",21
290,Komisariat 291,"ul. Handlowa 125
82-599 Kalisz",18
291,Komisariat 292,"pl. Jagiellonska 006
91-775 Leszno",23
292,Komisariat 293,"pl. Warynskiego 90
64-311 Oawa",21
293,Komisariat 294,"ulica Stawowa 356
81-512 Wrocaw",21
294,Komisariat 295,"al. Brzozowa 801
75-719 Chem",28
295,Komisariat 296,"pl. Zwyciestwa 390
53-242 Gogow",14
296,Komisariat 297,"aleja Kowalska 108
03-762 Wyszkow",33
297,Komisariat 298,"ulica Wolnosci 50
75-248 Wocawek",28
298,Komisariat 299,"pl. Gorna 95/44
46-026 Grodzisk Mazowiecki",27
299,Komisariat 300,"plac Niepodlegosci 02
87-264 Oawa",23
300,Komisariat 301,"plac Wojciecha 88/27
58-443 Gizycko",18
301,Komisariat 302,"aleja Zaciszna 626
73-671 Zgorzelec",19
302,Komisariat 303,"ulica Koralowa 73/73
70-547 Biaogard",17
303,Komisariat 304,"plac Stroma 102
90-631 Mielec",21
304,Komisariat 305,"aleja Kraszewskiego 39
29-395 Gizycko",17
305,Komisariat 306,"al. Rzeczna 28
98-024 Konin",24
306,Komisariat 307,"plac Kasztanowa 81
45-620 Piekary Slaskie",25
307,Komisariat 308,"al. Zakatek 206
67-323 Pruszcz Gdanski",26
308,Komisariat 309,"al. Staszica 03/83
65-937 Woomin",25
309,Komisariat 310,"plac Widokowa 60
02-423 Skarzysko-Kamienna",15
310,Komisariat 311,"pl. Kaliska 45/46
41-144 odz",19
311,Komisariat 312,"aleja Rycerska 63/71
72-306 Gogow",15
312,Komisariat 313,"ulica Zurawia 28/74
04-418 Zabrze",22
313,Komisariat 314,"ulica Duga 14/45
69-025 Krosno",25
314,Komisariat 315,"ul. Wrocawska 00
73-039 Sroda Wielkopolska",21
315,Komisariat 316,"al. Nadrzeczna 283
17-838 Lebork",22
316,Komisariat 317,"al. Strzelecka 85
17-583 Oawa",23
317,Komisariat 318,"aleja Zakole 49/92
45-659 Swiecie",14
318,Komisariat 319,"ul. Bursztynowa 82/39
78-079 Ek",20
319,Komisariat 320,"ul. Stolarska 25/80
89-632 Nysa",17
320,Komisariat 321,"al. Zurawia 301
51-767 Chem",17
321,Komisariat 322,"plac Kilinskiego 372
16-551 Suwaki",16
322,Komisariat 323,"plac Borowa 440
06-975 Olsztyn",20
323,Komisariat 324,"al. Poziomkowa 545
12-212 Otwock",17
324,Komisariat 325,"ulica Szeroka 31/08
15-638 Myszkow",21
325,Komisariat 326,"plac Jana 516
23-096 Ostroeka",23
326,Komisariat 327,"pl. Okulickiego 284
19-448 Bolesawiec",28
327,Komisariat 328,"al. Sonecznikowa 75
90-993 Wyszkow",26
328,Komisariat 329,"al. Lawendowa 943
45-150 Biaogard",23
329,Komisariat 330,"al. Norwida 46/08
70-716 Biaogard",16
330,Komisariat 331,"ul. Wiklinowa 06
99-336 Tomaszow Mazowiecki",21
331,Komisariat 332,"ulica Boczna 22
96-665 Wielun",16
332,Komisariat 333,"plac Rejtana 332
11-731 Dzierzoniow",20
333,Komisariat 334,"al. Ponocna 01
80-992 Pruszkow",29
334,Komisariat 335,"ul. Bema 52
10-149 Piaseczno",19
335,Komisariat 336,"ulica Mysliwska 515
82-758 Wrzesnia",24
336,Komisariat 337,"plac Szeroka 46
71-226 Ponsk",24
337,Komisariat 338,"ul. Gornicza 76/10
61-520 Nowa Ruda",18
338,Komisariat 339,"plac Mieszka I 55
03-452 Marki",24
339,Komisariat 340,"ulica Srednia 769
76-318 Czestochowa",14
340,Komisariat 341,"ul. Zwyciestwa 69
73-159 Wrocaw",19
341,Komisariat 342,"ul. Zakole 901
46-800 Lubartow",19
342,Komisariat 343,"aleja Tysiaclecia 670
50-849 Nysa",20
343,Komisariat 344,"ul. Towarowa 95/21
76-627 Brzeg",21
344,Komisariat 345,"plac Korczaka 42
11-615 Wocawek",16
345,Komisariat 346,"al. Boczna 00
95-986 Wyszkow",13
346,Komisariat 347,"pl. Porzeczkowa 179
58-271 ukow",14
347,Komisariat 348,"al. Chmielna 21
30-858 Bydgoszcz",19
348,Komisariat 349,"ulica Armii Krajowej 67/32
47-630 Jastrzebie-Zdroj",18
349,Komisariat 350,"aleja Lubelska 51/28
24-816 Reda",16
350,Komisariat 351,"plac Krancowa 34/62
06-340 Woomin",20
351,Komisariat 352,"ul. Truskawkowa 78/46
17-928 Minsk Mazowiecki",17
352,Komisariat 353,"ulica Wiazowa 68/27
09-151 Pock",14
353,Komisariat 354,"aleja Rzeczna 12
94-250 Tarnowskie Gory",32
354,Komisariat 355,"al. Robotnicza 00/89
45-383 Nowy Targ",14
355,Komisariat 356,"ulica Stawowa 782
87-874 Nysa",21
356,Komisariat 357,"plac Reymonta 86/06
27-526 Wagrowiec",20
357,Komisariat 358,"al. Poznanska 75/96
31-910 Puawy",16
358,Komisariat 359,"pl. Morcinka 79/17
98-985 Wrocaw",28
359,Komisariat 360,"ul. Sawickiej 88/96
34-587 Jarosaw",16
360,Komisariat 361,"ulica Konstytucji 3 Maja 58
20-334 Leszno",15
361,Komisariat 362,"ul. Niepodlegosci 246
61-890 Sopot",21
362,Komisariat 363,"aleja Kosciuszki 10/68
02-913 Swidnica",19
363,Komisariat 364,"pl. Glowna 465
77-809 Gogow",18
364,Komisariat 365,"aleja Kosynierow 667
13-232 Brzeg",15
365,Komisariat 366,"pl. Mickiewicza 06
28-882 Srem",19
366,Komisariat 367,"ul. Graniczna 38/15
98-458 Turek",23
367,Komisariat 368,"aleja Daszynskiego 431
33-252 Piotrkow Trybunalski",18
368,Komisariat 369,"aleja Magnoliowa 00
76-304 Starachowice",23
369,Komisariat 370,"ulica Srodkowa 339
09-852 Wagrowiec",30
370,Komisariat 371,"ul. Lwowska 18
04-989 Knurow",20
371,Komisariat 372,"ulica Zeglarska 02/53
73-367 Stalowa Wola",20
372,Komisariat 373,"ulica Zeglarska 643
21-726 Ciechanow",20
373,Komisariat 374,"pl. Ksiezycowa 92/51
84-431 Myszkow",21
374,Komisariat 375,"aleja Wyszynskiego 99/30
50-048 Wejherowo",20
375,Komisariat 376,"pl. Kielecka 550
97-945 Chem",22
376,Komisariat 377,"aleja Zielna 286
80-320 Woomin",18
377,Komisariat 378,"plac Bema 903
88-278 Jawor",25
378,Komisariat 379,"al. Batalionow Chopskich 95/31
77-901 Jastrzebie-Zdroj",17
379,Komisariat 380,"ul. Fredry 488
68-285 Czeladz",21
380,Komisariat 381,"ulica Wilcza 58/64
31-590 Zywiec",21
381,Komisariat 382,"ul. Wiosenna 236
14-998 Turek",19
382,Komisariat 383,"al. Sybirakow 13
29-158 Ostrow Mazowiecka",21
383,Komisariat 384,"aleja Jaowcowa 62
25-756 Bytom",21
384,Komisariat 385,"plac Konwaliowa 79
66-377 Wrzesnia",15
385,Komisariat 386,"pl. Rynek 33
67-347 Polkowice",18
386,Komisariat 387,"ulica Nowa 01/87
50-887 Tarnow",18
387,Komisariat 388,"aleja Dobra 16/15
64-904 Bochnia",20
388,Komisariat 389,"pl. Koataja 427
67-523 Nowy Dwor Mazowiecki",12
